品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
Abracon,AMELA3010S,AMELA3010S,,Metal Alloy,,,,,Low Profile Molded Inductors,Page: Abracon | Low Profile Molded Inductors,Table: 0,Source: https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,功率电感,SMT,AMELA3010S,3.3 x 3.1 x 0.8,Low Profile Molded Inductors | Inductance (μH)=0.47 - 10 | DCR (mΩ)=25.8 - 420.0 | Size (mm)=3.3 x 3.1 x 0.8,In-Stock Soon,3.3,3.1,0.8,https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Low Profile Molded Inductors | table 0,,,,,,,-40 to 125,,,,,,,,1.25,25.8 - 420.0,,0.47,,,,,,Low Profile Molded Inductors,abracon_product_lineup,,,,,,,,,,,3.3 x 3.1 x 0.8
Abracon,AMELA3012S,AMELA3012S,,Metal Alloy,,,,,Low Profile Molded Inductors,Page: Abracon | Low Profile Molded Inductors,Table: 0,Source: https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,功率电感,SMT,AMELA3012S,3.3 x 3.1 x 1.0,Low Profile Molded Inductors | Inductance (μH)=0.3 - 4.7 | DCR (mΩ)=12.7 - 194 | Size (mm)=3.3 x 3.1 x 1.0,In-Stock Soon,3.3,3.1,1,https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Low Profile Molded Inductors | table 0,,,,,,,-40 to 125,,,,,,,,2.5,12.7 - 194,,0.3,,,,,,Low Profile Molded Inductors,abracon_product_lineup,,,,,,,,,,,3.3 x 3.1 x 1.0
Abracon,AMELA4010S,AMELA4010S,,Metal Alloy,,,,,Low Profile Molded Inductors,Page: Abracon | Low Profile Molded Inductors,Table: 0,Source: https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,功率电感,SMT,AMELA4010S,4.3 x 4.1 x 0.8,Low Profile Molded Inductors | Inductance (μH)=0.47 - 10 | DCR (mΩ)=22.8 - 350.0 | Size (mm)=4.3 x 4.1 x 0.8,In-Stock Soon,4.3,4.1,0.8,https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Low Profile Molded Inductors | table 0,,,,,,,-40 to 125,,,,,,,,1.7,22.8 - 350.0,,0.47,,,,,,Low Profile Molded Inductors,abracon_product_lineup,,,,,,,,,,,4.3 x 4.1 x 0.8
Abracon,AMELA4012S,AMELA4012S,,Metal Alloy,,,,,Low Profile Molded Inductors,Page: Abracon | Low Profile Molded Inductors,Table: 0,Source: https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,功率电感,SMT,AMELA4012S,4.3 x 4.1 x 1.0,Low Profile Molded Inductors | Inductance (μH)=0.47 - 10 | DCR (mΩ)=15.0 - 260 | Size (mm)=4.3 x 4.1 x 1.0,In-Stock Soon,4.3,4.1,1,https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Low Profile Molded Inductors | table 0,,,,,,,-40 to 125,,,,,,,,2.3,15.0 - 260,,0.47,,,,,,Low Profile Molded Inductors,abracon_product_lineup,,,,,,,,,,,4.3 x 4.1 x 1.0
Abracon,AMELA5010S,AMELA5010S,,Metal Alloy,,,,,Low Profile Molded Inductors,Page: Abracon | Low Profile Molded Inductors,Table: 0,Source: https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,功率电感,SMT,AMELA5010S,5.4 x 5.1 x 0.8,Low Profile Molded Inductors | Inductance (μH)=0.47 - 10 | DCR (mΩ)=21.6 - 312.0 | Size (mm)=5.4 x 5.1 x 0.8,In-Stock Soon,5.4,5.1,0.8,https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Low Profile Molded Inductors | table 0,,,,,,,-40 to 125,,,,,,,,2,21.6 - 312.0,,0.47,,,,,,Low Profile Molded Inductors,abracon_product_lineup,,,,,,,,,,,5.4 x 5.1 x 0.8
Abracon,AMELA5012S,AMELA5012S,,Metal Alloy,,,,,Low Profile Molded Inductors,Page: Abracon | Low Profile Molded Inductors,Table: 0,Source: https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,功率电感,SMT,AMELA5012S,5.4 x 5.1 x 1.0,Low Profile Molded Inductors | Inductance (μH)=0.47 - 10 | DCR (mΩ)=14.4 - 202.0 | Size (mm)=5.4 x 5.1 x 1.0,In-Stock Soon,5.4,5.1,1,https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Low Profile Molded Inductors | table 0,,,,,,,-40 to +125,,,,,,,,2.7,14.4 - 202.0,,0.47,,,,,,Low Profile Molded Inductors,abracon_product_lineup,,,,,,,,,,,5.4 x 5.1 x 1.0
Abracon,AMELA6010S,AMELA6010S,,Metal Alloy,,,,,Low Profile Molded Inductors,Page: Abracon | Low Profile Molded Inductors,Table: 0,Source: https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,功率电感,SMT,AMELA6010S,6.1 x 6.1 x 0.8,Low Profile Molded Inductors | Inductance (μH)=0.47 - 10 | DCR (mΩ)=20.4 - 240.0 | Size (mm)=6.1 x 6.1 x 0.8,In-Stock Soon,6.1,6.1,0.8,https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Low Profile Molded Inductors | table 0,,,,,,,-40 to 125,,,,,,,,2.3,20.4 - 240.0,,0.47,,,,,,Low Profile Molded Inductors,abracon_product_lineup,,,,,,,,,,,6.1 x 6.1 x 0.8
Abracon,AMELA6012S,AMELA6012S,,Metal Alloy,,,,,Low Profile Molded Inductors,Page: Abracon | Low Profile Molded Inductors,Table: 0,Source: https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,功率电感,SMT,AMELA6012S,6.1 x 6.1 x 1.0,Low Profile Molded Inductors | Inductance (μH)=0.47 - 10 | DCR (mΩ)=16.5 - 180 | Size (mm)=6.1 x 6.1 x 1.0,In-Stock Soon,6.1,6.1,1,https://abracon.com/product-lineup/power-magnetics/inductors/low-profile-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Low Profile Molded Inductors | table 0,,,,,,,-40 to +125,,,,,,,,4,16.5 - 180,,0.47,,,,,,Low Profile Molded Inductors,abracon_product_lineup,,,,,,,,,,,6.1 x 6.1 x 1.0
Abracon,AOTA-B141206S,AOTA-B141206S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B141206S,1.4 x 1.2 x 0.65mm,Mini Molded Inductors | Inductance=0.33-0.47 µh | DCR=28-36 mΩ | Saturation Current=3.3-5.7 A | Temp Rise=3.2-3.7 A | Operating Temp=-40˚C ~ +125˚C | Size=1.4 x 1.2 x 0.65mm,Production,1.4,1.2,0.65,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,28-36 mΩ,,0.33,uH,,3.3-5.7 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,1.4 x 1.2 x 0.65mm
Abracon,AOTA-B141208S,AOTA-B141208S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B141208S,1.4 x 1.2 x 0.8mm,Mini Molded Inductors | Inductance=0.24-0.47 µh | DCR=20-28 mΩ | Saturation Current=4.2-7.0 A | Temp Rise=3.6-5.3 A | Operating Temp=-40˚C ~ +125˚C | Size=1.4 x 1.2 x 0.8mm,Production,1.4,1.2,0.8,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,20-28 mΩ,,0.24,uH,,4.2-7.0 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,1.4 x 1.2 x 0.8mm
Abracon,AOTA-B160808S,AOTA-B160808S,,Metal Alloy,,,,,Mini Molded Inductors,Page: Abracon | Mini Molded Inductors,Table: 0 | sat_unit=A | dcr_unit=mΩ,Source: https://abracon.com/mini-molded-inductors,功率电感,SMT,AOTA-B160808S,1.6 x 0.8 x 0.8mm,Mini Molded Inductors | Inductance=0.47-2.2 µh | DCR=38-240 mΩ | Saturation Current=1.3-3.6 A | Temp Rise=1.1-3.3 A | Operating Temp=-40˚C ~ +125˚C | Size=1.6 x 0.8 x 0.8mm,Production,1.6,0.8,0.8,https://abracon.com/mini-molded-inductors,Abracon official product lineup,官方网页抽取,2026-04-19 19:15,Abracon | Mini Molded Inductors | table 0,,,,,,,-40˚C ~ +125˚C,,,,,,,,,38-240 mΩ,,0.47,uH,,1.3-3.6 A,,,Mini Molded Inductors,abracon_product_lineup,,,,,,,,,,,1.6 x 0.8 x 0.8mm
