品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,工作温度,官网链接,数据来源,数据状态,校验时间,校验备注,额定电流,DCR,电感值,电感单位,电感误差,饱和电流,屏蔽类型,系列说明,_model_rule_authority,_body_size
Bourns(伯恩斯),PQ2614BHA,PQ2614BHA,2614,,,,,,Power Inductor,MDS: PQ2614BHA-xxxK,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,2614,28 x 28 x 16 mm,L=2.2~33uH | Irms=30A | Case=2614 | 28 x 28 x 16 mm | Magnetically Shielded Type,Production,28,28,16,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,30,,2.2,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,28 x 28 x 16 mm
Bourns(伯恩斯),PQ2614BLA,PQ2614BLA,2614,,,,,,Power Inductor,MDS: PQ2614BLA-1R0K PQ2614BLA-xxxK,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,2614,28 x 28 x 16 mm,L=1~33uH | Irms=30A | Case=2614 | 28 x 28 x 16 mm | Magnetically Shielded Type,Production,28,28,16,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,30,,1,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,28 x 28 x 16 mm
Bourns(伯恩斯),PQ2617BHA,PQ2617BHA,2617,,,,,,Power Inductor,MDS: PQ2617BHA-xxxK,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,2617,28 x 28 x 19 mm,L=3.3~33uH | Irms=28A | Case=2617 | 28 x 28 x 19 mm | Magnetically Shielded Type,Production,28,28,19,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,28,,3.3,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,28 x 28 x 19 mm
Bourns(伯恩斯),SRP0310F,SRP0310F,0310,,,,,,Power Inductor,MDS: SRP0310F,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,0310,3.3 x 3.1 x 0.8 mm,L=0.47~10uH | Irms=1.25~6A | Case=0310 | 3.3 x 3.1 x 0.8 mm | Magnetically Shielded Type,Production,3.3,3.1,0.8,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,6,,0.47,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,3.3 x 3.1 x 0.8 mm
Bourns(伯恩斯),SRP0312F,SRP0312F,0312,,,,,,Power Inductor,MDS: SRP0312F,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,0312,3.3 x 3.1 x 1.0 mm,L=0.3~4.7uH | Irms=2.2~8.6A | Case=0312 | 3.3 x 3.1 x 1.0 mm | Magnetically Shielded Type,Production,3.3,3.1,1,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,8.6,,0.3,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,3.3 x 3.1 x 1.0 mm
Bourns(伯恩斯),SRP0408F,SRP0408F,0408,,,,,,Power Inductor,MDS: SRP0408F,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,0408,4.3 x 4.1 x 0.7 mm,L=6.8~10uH | Irms=1.2~1.7A | Case=0408 | 4.3 x 4.1 x 0.7 mm | Magnetically Shielded Type,Production,4.3,4.1,0.7,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,1.7,,6.8,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,4.3 x 4.1 x 0.7 mm
Bourns(伯恩斯),SRP0410F,SRP0410F,0410,,,,,,Power Inductor,MDS: SRP0410F,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,0410,4.3 x 4.1 x 0.8 mm,L=0.47~10uH | Irms=1.7~7.5A | Case=0410 | 4.3 x 4.1 x 0.8 mm | Magnetically Shielded Type,Production,4.3,4.1,0.8,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,7.5,,0.47,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,4.3 x 4.1 x 0.8 mm
Bourns(伯恩斯),SRP0412F,SRP0412F,0412,,,,,,Power Inductor,MDS: SRP0412F,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,0412,4.3 x 4.1 x 1.0 mm,L=0.47~10uH | Irms=1.9~8.5A | Case=0412 | 4.3 x 4.1 x 1.0 mm | Magnetically Shielded Type,Production,4.3,4.1,1,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,8.5,,0.47,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,4.3 x 4.1 x 1.0 mm
Bourns(伯恩斯),SRP0510F,SRP0510F,0510,,,,,,Power Inductor,MDS: SRP0510F,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,0510,5.4 x 5.1 x 0.8 mm,L=0.47~10uH | Irms=2~7.7A | Case=0510 | 5.4 x 5.1 x 0.8 mm | Magnetically Shielded Type,Production,5.4,5.1,0.8,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,7.7,,0.47,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,5.4 x 5.1 x 0.8 mm
Bourns(伯恩斯),SRP0512F,SRP0512F,0512,,,,,,Power Inductor,MDS: SRP0512F,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,0512,5.4 x 5.1 x 1.0 mm,L=0.47~10uH | Irms=2.3~9A | Case=0512 | 5.4 x 5.1 x 1.0 mm | Magnetically Shielded Type,Production,5.4,5.1,1,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,9,,0.47,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,5.4 x 5.1 x 1.0 mm
Bourns(伯恩斯),SRP0610F,SRP0610F,0610,,,,,,Power Inductor,MDS: SRP0610F,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,0610,6.1 x 6.1 x 0.8 mm,L=0.47~10uH | Irms=2.3~8.2A | Case=0610 | 6.1 x 6.1 x 0.8 mm | Magnetically Shielded Type,Production,6.1,6.1,0.8,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,8.2,,0.47,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,6.1 x 6.1 x 0.8 mm
Bourns(伯恩斯),SRP0612F,SRP0612F,0612,,,,,,Power Inductor,MDS: SRP0612F,Design Files: Downloads,Family: High Current Shielded,功率电感,SMT,0612,6.1 x 6.1 x 1.0 mm,L=0.47~10uH | Irms=2.8~8.5A | Case=0612 | 6.1 x 6.1 x 1.0 mm | Magnetically Shielded Type,Production,6.1,6.1,1,,https://bourns.com/products/magnetic-products/power-inductors-smd-high-current-shielded,Bourns official family table,官方网页抽取,2026-04-19 19:24,Bourns High Current Shielded family page,8.5,,0.47,ΜH,,,Magnetically Shielded Type,Bourns High Current Shielded power inductor family table,bourns_power_inductors_smd_high_current_shielded,6.1 x 6.1 x 1.0 mm
