品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
Coilcraft,XAL7050-103ME,XAL7050,,Composite,,,,,Shielded Power Inductors,Shielded Power Inductors – XAL7050,Values: 10 | 25 | 29 | 12.1 | 7.1 | 6.3 | 8.5,PDF: https://www.coilcraft.com/pdfs/xal7050.pdf | page=1,功率电感,SMT,XAL7050,,Coilcraft XAL7050 | 10 µH | DCR 25 / 29 | Isat 7.1 A | Irms 6.3 A / 8.5 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xal7050.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XAL7050 | page=1,,,,,,,,,,,,,,,6.3,25 / 29,,10,µH,,7.1,,,Shielded Power Inductors – XAL7050,coilcraft_xal7050,,,,,,,,,,,XAL7050
Coilcraft,XAL7050-153ME,XAL7050,,Composite,,,,,Shielded Power Inductors,Shielded Power Inductors – XAL7050,Values: 15 | 35 | 41 | 10.3 | 6.4 | 5.1 | 7.0,PDF: https://www.coilcraft.com/pdfs/xal7050.pdf | page=1,功率电感,SMT,XAL7050,,Coilcraft XAL7050 | 15 µH | DCR 35 / 41 | Isat 6.4 A | Irms 5.1 A / 7.0 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xal7050.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XAL7050 | page=1,,,,,,,,,,,,,,,5.1,35 / 41,,15,µH,,6.4,,,Shielded Power Inductors – XAL7050,coilcraft_xal7050,,,,,,,,,,,XAL7050
Coilcraft,XAL7050-183ME,XAL7050,,Composite,,,,,Shielded Power Inductors,Shielded Power Inductors – XAL7050,Values: 18 | 43 | 50 | 9.3 | 6.2 | 4.5 | 6.2,PDF: https://www.coilcraft.com/pdfs/xal7050.pdf | page=1,功率电感,SMT,XAL7050,,Coilcraft XAL7050 | 18 µH | DCR 43 / 50 | Isat 6.2 A | Irms 4.5 A / 6.2 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xal7050.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XAL7050 | page=1,,,,,,,,,,,,,,,4.5,43 / 50,,18,µH,,6.2,,,Shielded Power Inductors – XAL7050,coilcraft_xal7050,,,,,,,,,,,XAL7050
Coilcraft,XAL7050-223ME,XAL7050,,Composite,,,,,Shielded Power Inductors,Shielded Power Inductors – XAL7050,Values: 22 | 60 | 70 | 8.6 | 5.5 | 4.0 | 5.0,PDF: https://www.coilcraft.com/pdfs/xal7050.pdf | page=1,功率电感,SMT,XAL7050,,Coilcraft XAL7050 | 22 µH | DCR 60 / 70 | Isat 5.5 A | Irms 4.0 A / 5.0 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xal7050.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XAL7050 | page=1,,,,,,,,,,,,,,,4.0,60 / 70,,22,µH,,5.5,,,Shielded Power Inductors – XAL7050,coilcraft_xal7050,,,,,,,,,,,XAL7050
Coilcraft,XAL7050-333ME,XAL7050,,Composite,,,,,Shielded Power Inductors,Shielded Power Inductors – XAL7050,Values: 33 | 75 | 85 | 6.7 | 4.1 | 3.4 | 4.6,PDF: https://www.coilcraft.com/pdfs/xal7050.pdf | page=1,功率电感,SMT,XAL7050,,Coilcraft XAL7050 | 33 µH | DCR 75 / 85 | Isat 4.1 A | Irms 3.4 A / 4.6 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xal7050.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XAL7050 | page=1,,,,,,,,,,,,,,,3.4,75 / 85,,33,µH,,4.1,,,Shielded Power Inductors – XAL7050,coilcraft_xal7050,,,,,,,,,,,XAL7050
Coilcraft,XAL7050-473ME,XAL7050,,Composite,,,,,Shielded Power Inductors,Shielded Power Inductors – XAL7050,Values: 47 | 105 | 120 | 6.0 | 3.5 | 2.5 | 3.5,PDF: https://www.coilcraft.com/pdfs/xal7050.pdf | page=1,功率电感,SMT,XAL7050,,Coilcraft XAL7050 | 47 µH | DCR 105 / 120 | Isat 3.5 A | Irms 2.5 A / 3.5 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xal7050.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XAL7050 | page=1,,,,,,,,,,,,,,,2.5,105 / 120,,47,µH,,3.5,,,Shielded Power Inductors – XAL7050,coilcraft_xal7050,,,,,,,,,,,XAL7050
Coilcraft,XAL7050-473MEC,XAL7050,,Composite,,,,,Shielded Power Inductors,Shielded Power Inductors – XAL7050,Values: 95.5 | 4 | 0.5 | 63 | 37 | 7 | -481,PDF: https://www.coilcraft.com/pdfs/xal7050.pdf | page=1,功率电感,SMT,XAL7050,,Coilcraft XAL7050 | 95.5 µH | DCR 4 / 0.5 | Isat 37 A | Irms 7 A / -481 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xal7050.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XAL7050 | page=1,,,,,,,,,,,,,,,7,4 / 0.5,,95.5,µH,,37,,,Shielded Power Inductors – XAL7050,coilcraft_xal7050,,,,,,,,,,,XAL7050
Coilcraft,XEL4020-800ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 0.08 | 1.50 | 1.80 | 305 | 33.2 | 15.5 | 21.4,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 0.08 µH | DCR 1.50 / 1.80 | Isat 33.2 A | Irms 15.5 A / 21.4 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,15.5,1.50 / 1.80,,0.08,µH,,33.2,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
Coilcraft,XEL4020-101ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 0.10 | 2.04 | 2.50 | 280 | 28.5 | 14.6 | 19.9,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 0.10 µH | DCR 2.04 / 2.50 | Isat 28.5 A | Irms 14.6 A / 19.9 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,14.6,2.04 / 2.50,,0.10,µH,,28.5,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
Coilcraft,XEL4020-201ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 0.20 | 3.04 | 3.35 | 180 | 19.7 | 14.0 | 17.2,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 0.20 µH | DCR 3.04 / 3.35 | Isat 19.7 A | Irms 14.0 A / 17.2 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,14.0,3.04 / 3.35,,0.20,µH,,19.7,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
Coilcraft,XEL4020-331ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 0.33 | 5.18 | 5.70 | 124 | 15.7 | 11.9 | 15.4,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 0.33 µH | DCR 5.18 / 5.70 | Isat 15.7 A | Irms 11.9 A / 15.4 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,11.9,5.18 / 5.70,,0.33,µH,,15.7,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
Coilcraft,XEL4020-561ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 0.56 | 8.00 | 8.80 | 90 | 11.3 | 9.9 | 13.8,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 0.56 µH | DCR 8.00 / 8.80 | Isat 11.3 A | Irms 9.9 A / 13.8 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,9.9,8.00 / 8.80,,0.56,µH,,11.3,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
Coilcraft,XEL4020-821ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 0.82 | 11.80 | 13.00 | 69 | 10.2 | 8.1 | 11.5,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 0.82 µH | DCR 11.80 / 13.00 | Isat 10.2 A | Irms 8.1 A / 11.5 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,8.1,11.80 / 13.00,,0.82,µH,,10.2,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
Coilcraft,XEL4020-102ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 1.0 | 13.25 | 14.60 | 68 | 9.0 | 6.7 | 9.6,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 1.0 µH | DCR 13.25 / 14.60 | Isat 9.0 A | Irms 6.7 A / 9.6 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,6.7,13.25 / 14.60,,1.0,µH,,9.0,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
Coilcraft,XEL4020-122ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 1.2 | 17.75 | 19.50 | 59 | 8.1 | 6.6 | 9.0,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 1.2 µH | DCR 17.75 / 19.50 | Isat 8.1 A | Irms 6.6 A / 9.0 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,6.6,17.75 / 19.50,,1.2,µH,,8.1,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
Coilcraft,XEL4020-152ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 1.5 | 21.45 | 23.60 | 54 | 7.4 | 5.2 | 7.5,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 1.5 µH | DCR 21.45 / 23.60 | Isat 7.4 A | Irms 5.2 A / 7.5 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,5.2,21.45 / 23.60,,1.5,µH,,7.4,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
Coilcraft,XEL4020-222ME,XEL4020,,Composite,,,,,Shielded Power Inductors,Coilcraft XEL4020,Values: 2.2 | 35.20 | 38.70 | 41 | 5.9 | 4.0 | 5.5,PDF: https://www.coilcraft.com/pdfs/xel4020.pdf | page=1,功率电感,SMT,XEL4020,,Coilcraft XEL4020 | 2.2 µH | DCR 35.20 / 38.70 | Isat 5.9 A | Irms 4.0 A / 5.5 A | Composite,Production,,,,https://www.coilcraft.com/pdfs/xel4020.pdf,Coilcraft official PDF,官方PDF抽取,2026-04-19 20:06,series=XEL4020 | page=1,,,,,,,,,,,,,,,4.0,35.20 / 38.70,,2.2,µH,,5.9,,,Coilcraft XEL4020,coilcraft_xel4020,,,,,,,,,,,XEL4020
