品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
Laird(莱尔德),MGV0604R22M-10,MGV0604,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0604,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0604,功率电感,SMT,0604,7.3 x 6.7 x 4,L=0.22uH | I=34A | Isat=45A | DCR=0Ω | 7.3 x 6.7 x 4,Production,7.3,6.7,4,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0604,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0604,,,,,,,,,,,,,,,34,0,,0.22,uH,,45,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0604,,,,,,,,,,,7.3 x 6.7 x 4
Laird(莱尔德),MGV0604R13M-10,MGV0604,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0604,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0604,功率电感,SMT,0604,7.3 x 6.7 x 4,L=0.13uH | I=42A | Isat=52A | DCR=0Ω | 7.3 x 6.7 x 4,Production,7.3,6.7,4,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0604,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0604,,,,,,,,,,,,,,,42,0,,0.13,uH,,52,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0604,,,,,,,,,,,7.3 x 6.7 x 4
Laird(莱尔德),MGV0502R68M-10,MGV0502,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0502,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,功率电感,SMT,0502,5.5 x 5.1 x 2,L=0.68uH | I=10A | Isat=12.8A | DCR=0.01Ω | 5.5 x 5.1 x 2,Production,5.5,5.1,2,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0502,,,,,,,,,,,,,,,10,0.01,,0.68,uH,,12.8,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,,,,,,,,,,,5.5 x 5.1 x 2
Laird(莱尔德),MGV0502R47M-10,MGV0502,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0502,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,功率电感,SMT,0502,5.5 x 5.1 x 2,L=0.47uH | I=11.5A | Isat=18A | DCR=0.01Ω | 5.5 x 5.1 x 2,Production,5.5,5.1,2,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0502,,,,,,,,,,,,,,,11.5,0.01,,0.47,uH,,18,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,,,,,,,,,,,5.5 x 5.1 x 2
Laird(莱尔德),MGV0502R10N-10,MGV0502,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0502,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,功率电感,SMT,0502,5.5 x 5.1 x 2,L=0.1uH | I=18A | Isat=45A | DCR=0Ω | 5.5 x 5.1 x 2,Production,5.5,5.1,2,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0502,,,,,,,,,,,,,,,18,0,,0.1,uH,,45,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,,,,,,,,,,,5.5 x 5.1 x 2
Laird(莱尔德),MGV05026R8M-10,MGV0502,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0502,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,功率电感,SMT,0502,5.5 x 5.1 x 2,L=6.8uH | I=2.4A | Isat=3.8A | DCR=0.15Ω | 5.5 x 5.1 x 2,Production,5.5,5.1,2,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0502,,,,,,,,,,,,,,,2.4,0.15,,6.8,uH,,3.8,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,,,,,,,,,,,5.5 x 5.1 x 2
Laird(莱尔德),MGV05024R7M-12,MGV0502,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0502,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,功率电感,SMT,0502,5.5 x 5.1 x 2,L=0.12uH | I=2.8A | Isat=5A | DCR=4.7Ω | 5.5 x 5.1 x 2,Production,5.5,5.1,2,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0502,,,,,,,,,,,,,,,2.8,4.7,,0.12,uH,,5,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,,,,,,,,,,,5.5 x 5.1 x 2
Laird(莱尔德),MGV05023R3M-10,MGV0502,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0502,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,功率电感,SMT,0502,5.5 x 5.1 x 2,L=3.3uH | I=3.3A | Isat=7.3A | DCR=0.08Ω | 5.5 x 5.1 x 2,Production,5.5,5.1,2,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0502,,,,,,,,,,,,,,,3.3,0.08,,3.3,uH,,7.3,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,,,,,,,,,,,5.5 x 5.1 x 2
Laird(莱尔德),MGV05022R2M-10,MGV0502,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0502,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,功率电感,SMT,0502,5.5 x 5.1 x 2,L=2.2uH | I=4.2A | Isat=9A | DCR=0.05Ω | 5.5 x 5.1 x 2,Production,5.5,5.1,2,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0502,,,,,,,,,,,,,,,4.2,0.05,,2.2,uH,,9,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,,,,,,,,,,,5.5 x 5.1 x 2
Laird(莱尔德),MGV05021R5M-10,MGV0502,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0502,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,功率电感,SMT,0502,5.5 x 5.1 x 2,L=1.5uH | I=5.5A | Isat=9.8A | DCR=0.03Ω | 5.5 x 5.1 x 2,Production,5.5,5.1,2,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0502,,,,,,,,,,,,,,,5.5,0.03,,1.5,uH,,9.8,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,,,,,,,,,,,5.5 x 5.1 x 2
Laird(莱尔德),MGV05021R2M-10,MGV0502,,Metal Composite,,,,,High Current Molded SMT Power Inductor,Part Name: High Current Molded SMT Power Inductor,Source: MGV0502,Laird series page: https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,功率电感,SMT,0502,5.5 x 5.1 x 2,L=1.2uH | I=6.2A | Isat=11A | DCR=0.03Ω | 5.5 x 5.1 x 2,Production,5.5,5.1,2,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,Laird official series table,官方网页抽取,2026-04-19 15:08,Laird MGV0502,,,,,,,,,,,,,,,6.2,0.03,,1.2,uH,,11,Magnetically Shielded Type,,High Current Molded SMT Power Inductor,https://www.laird.com/products/inductive-components-inductors-for-power-and-signal-lines/molded-smt-power-inductor/mgv0502,,,,,,,,,,,5.5 x 5.1 x 2
