品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size,特殊用途
村田Murata,BLM15VM150BH1#,BLM,,,,,,,Impedance@100MHz: 15Ω ±5Ω | Rated current: 900mA,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/QNFA9184_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707191653,"High-GHz ferrite beads ideal for high frequency noise suppression.

■Features
1. The stray capacitance is small due to the use of a horizontal internal coil structure.
    The imp… | Automotive powertrain/safety equipment",磁珠,SMT,1005/0402,1 x 0.5 x 0.5 mm,"1mm ±0.05mm,0.5mm ±0.05mm,0.5mm ±0.05mm,SMD,-55～150℃,1 | Impedance@100MHz: 15Ω ±5Ω | Rated current: 900mA | 0.245Ω | -55～150℃ | High-GHz ferrite beads ideal for high frequency noise suppression.

■Features
1. The stray capacitance is small due to the use of a horizontal internal coil structure.
    The imp…",Active,1,0.5,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/QNFA9184_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707191653,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～150℃,,,,,,,,900mA,0.245Ω,1,,,,,,15Ω ±5Ω,Murata BLM 磁珠系列,Murata official PIM API,,,,,,,,,,,1 x 0.5 x 0.5 mm,Ferrite Bead
村田Murata,BLA2AAG102SN4#,BLA,,,,,,,"Impedance@100MHz: 1,000Ω ±25% | Rated current: 50mA",https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,"1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are… | Consumer equipment",磁珠,SMT,2010/0804,2 x 1 x 0.5 mm,"2mm ±0.2mm,1mm ±0.2mm,0.5mm ±0.1mm,SMD,-55～125℃,4 | Impedance@100MHz: 1,000Ω ±25% | Rated current: 50mA | 1.3Ω | -55～125℃ | 1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are…",Active,2,1,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～125℃,,,,,,,,50mA,1.3Ω,4,,,,,,"1,000Ω ±25%",Murata BLA 磁珠系列,Murata official PIM API,,,,,,,,,,,2 x 1 x 0.5 mm,Ferrite Bead
村田Murata,BLA2AAG121SN4#,BLA,,,,,,,Impedance@100MHz: 120Ω ±25% | Rated current: 100mA,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,"1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are… | Consumer equipment",磁珠,SMT,2010/0804,2 x 1 x 0.5 mm,"2mm ±0.2mm,1mm ±0.2mm,0.5mm ±0.1mm,SMD,-55～125℃,4 | Impedance@100MHz: 120Ω ±25% | Rated current: 100mA | 0.5Ω | -55～125℃ | 1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are…",Active,2,1,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～125℃,,,,,,,,100mA,0.5Ω,4,,,,,,120Ω ±25%,Murata BLA 磁珠系列,Murata official PIM API,,,,,,,,,,,2 x 1 x 0.5 mm,Ferrite Bead
村田Murata,BLA2AAG221SN4#,BLA,,,,,,,Impedance@100MHz: 220Ω ±25% | Rated current: 50mA,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,"1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are… | Consumer equipment",磁珠,SMT,2010/0804,2 x 1 x 0.5 mm,"2mm ±0.2mm,1mm ±0.2mm,0.5mm ±0.1mm,SMD,-55～125℃,4 | Impedance@100MHz: 220Ω ±25% | Rated current: 50mA | 0.7Ω | -55～125℃ | 1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are…",Active,2,1,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～125℃,,,,,,,,50mA,0.7Ω,4,,,,,,220Ω ±25%,Murata BLA 磁珠系列,Murata official PIM API,,,,,,,,,,,2 x 1 x 0.5 mm,Ferrite Bead
村田Murata,BLA2AAG601SN4#,BLA,,,,,,,Impedance@100MHz: 600Ω ±25% | Rated current: 50mA,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,"1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are… | Consumer equipment",磁珠,SMT,2010/0804,2 x 1 x 0.5 mm,"2mm ±0.2mm,1mm ±0.2mm,0.5mm ±0.1mm,SMD,-55～125℃,4 | Impedance@100MHz: 600Ω ±25% | Rated current: 50mA | 1.1Ω | -55～125℃ | 1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are…",Active,2,1,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～125℃,,,,,,,,50mA,1.1Ω,4,,,,,,600Ω ±25%,Murata BLA 磁珠系列,Murata official PIM API,,,,,,,,,,,2 x 1 x 0.5 mm,Ferrite Bead
村田Murata,BLA2ABB100SN4#,BLA,,,,,,,Impedance@100MHz: 10Ω ±25% | Rated current: 200mA,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,"1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are… | Consumer equipment",磁珠,SMT,2010/0804,2 x 1 x 0.5 mm,"2mm ±0.2mm,1mm ±0.2mm,0.5mm ±0.1mm,SMD,-55～125℃,4 | Impedance@100MHz: 10Ω ±25% | Rated current: 200mA | 0.1Ω | -55～125℃ | 1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are…",Active,2,1,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～125℃,,,,,,,,200mA,0.1Ω,4,,,,,,10Ω ±25%,Murata BLA 磁珠系列,Murata official PIM API,,,,,,,,,,,2 x 1 x 0.5 mm,Ferrite Bead
村田Murata,BLA2ABB121SN4#,BLA,,,,,,,Impedance@100MHz: 120Ω ±25% | Rated current: 50mA,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,"1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are… | Consumer equipment",磁珠,SMT,2010/0804,2 x 1 x 0.5 mm,"2mm ±0.2mm,1mm ±0.2mm,0.5mm ±0.1mm,SMD,-55～125℃,4 | Impedance@100MHz: 120Ω ±25% | Rated current: 50mA | 0.6Ω | -55～125℃ | 1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are…",Active,2,1,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～125℃,,,,,,,,50mA,0.6Ω,4,,,,,,120Ω ±25%,Murata BLA 磁珠系列,Murata official PIM API,,,,,,,,,,,2 x 1 x 0.5 mm,Ferrite Bead
村田Murata,BLA2ABB220SN4#,BLA,,,,,,,Impedance@100MHz: 22Ω ±25% | Rated current: 200mA,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,"1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are… | Consumer equipment",磁珠,SMT,2010/0804,2 x 1 x 0.5 mm,"2mm ±0.2mm,1mm ±0.2mm,0.5mm ±0.1mm,SMD,-55～125℃,4 | Impedance@100MHz: 22Ω ±25% | Rated current: 200mA | 0.2Ω | -55～125℃ | 1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are…",Active,2,1,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～125℃,,,,,,,,200mA,0.2Ω,4,,,,,,22Ω ±25%,Murata BLA 磁珠系列,Murata official PIM API,,,,,,,,,,,2 x 1 x 0.5 mm,Ferrite Bead
村田Murata,BLA2ABB221SN4#,BLA,,,,,,,Impedance@100MHz: 220Ω ±25% | Rated current: 50mA,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,"1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are… | Consumer equipment",磁珠,SMT,2010/0804,2 x 1 x 0.5 mm,"2mm ±0.2mm,1mm ±0.2mm,0.5mm ±0.1mm,SMD,-55～125℃,4 | Impedance@100MHz: 220Ω ±25% | Rated current: 50mA | 0.9Ω | -55～125℃ | 1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are…",Active,2,1,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～125℃,,,,,,,,50mA,0.9Ω,4,,,,,,220Ω ±25%,Murata BLA 磁珠系列,Murata official PIM API,,,,,,,,,,,2 x 1 x 0.5 mm,Ferrite Bead
村田Murata,BLA2ABB470SN4#,BLA,,,,,,,Impedance@100MHz: 47Ω ±25% | Rated current: 200mA,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,"1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are… | Consumer equipment",磁珠,SMT,2010/0804,2 x 1 x 0.5 mm,"2mm ±0.2mm,1mm ±0.2mm,0.5mm ±0.1mm,SMD,-55～125℃,4 | Impedance@100MHz: 47Ω ±25% | Rated current: 200mA | 0.35Ω | -55～125℃ | 1. BLA2AA/2AB series has 4 circuits in 2.0x1.0mm body 
    with 0.5mm pitch.
2. Provides attenuation across a broad frequency range.
    Two types of impedance characteristics are…",Active,2,1,0.5,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0016_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250707190953,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API bead page 1,,,,,,,-55～125℃,,,,,,,,200mA,0.35Ω,4,,,,,,47Ω ±25%,Murata BLA 磁珠系列,Murata official PIM API,,,,,,,,,,,2 x 1 x 0.5 mm,Ferrite Bead
