品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size,特殊用途
村田Murata,50105AC,501,,,,,,,Rated current: 700mA,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.,共模电感,SMT,,6 x 9 x 4.8 mm,"6mm,9mm,4.8mm,Surface Mount | Rated current: 700mA | 700mΩ | The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.",Active,6,9,4.8,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,,,,,,,,,700mA,700mΩ,,1000,μH,,,,,Murata 501 共模电感系列,Murata official PIM API,,,,,,,,,,,6 x 9 x 4.8 mm,Common Mode Choke
村田Murata,50225AC,502,,,,,,,Rated current: 500mA,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.,共模电感,SMT,,6 x 9 x 4.8 mm,"6mm,9mm,4.8mm,Surface Mount | Rated current: 500mA | 500mΩ | The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.",Active,6,9,4.8,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,,,,,,,,,500mA,500mΩ,,2200,μH,,,,,Murata 502 共模电感系列,Murata official PIM API,,,,,,,,,,,6 x 9 x 4.8 mm,Common Mode Choke
村田Murata,50474AC,504,,,,,,,Rated current: 700mA,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.,共模电感,SMT,,6 x 9 x 4.8 mm,"6mm,9mm,4.8mm,Surface Mount | Rated current: 700mA | 700mΩ | The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.",Active,6,9,4.8,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,,,,,,,,,700mA,700mΩ,,470,μH,,,,,Murata 504 共模电感系列,Murata official PIM API,,,,,,,,,,,6 x 9 x 4.8 mm,Common Mode Choke
村田Murata,50475AC,504,,,,,,,Rated current: 400mA,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.,共模电感,SMT,,6 x 9 x 4.8 mm,"6mm,9mm,4.8mm,Surface Mount | Rated current: 400mA | 840mΩ | The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.",Active,6,9,4.8,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,,,,,,,,,400mA,840mΩ,,4700,μH,,,,,Murata 504 共模电感系列,Murata official PIM API,,,,,,,,,,,6 x 9 x 4.8 mm,Common Mode Choke
村田Murata,50503AC,505,,,,,,,Rated current: 800mA,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.,共模电感,SMT,,6 x 9 x 4.8 mm,"6mm,9mm,4.8mm,Surface Mount | Rated current: 800mA | 168mΩ | -40～125℃ | The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.",Active,6,9,4.8,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,-40～125℃,,,,,,,,800mA,168mΩ,,51,μH,,,,,Murata 505 共模电感系列,Murata official PIM API,,,,,,,,,,,6 x 9 x 4.8 mm,Common Mode Choke
村田Murata,50513AC,505,,,,,,,Rated current: 800mA,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.,共模电感,SMT,,6 x 9 x 4.8 mm,"6mm,9mm,4.8mm,Surface Mount | Rated current: 800mA | 168mΩ | The 5000A series is a range of surface mount common mode chokes designed to attenuate up to 100MHz common mode noise where signal line filtering is required.",Active,6,9,4.8,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/KMP_5000AC_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20250707193529,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,,,,,,,,,800mA,168mΩ,,51,μH,,,,,Murata 505 共模电感系列,Murata official PIM API,,,,,,,,,,,6 x 9 x 4.8 mm,Common Mode Choke
村田Murata,DLM11CB120HH2#,DLM,,,,,,,Common mode impedance: 12Ω ±5Ω | Rated current: 100mA | Circuit: 1,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/QFLD9101_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20251015092305,"1. Small size and tight dimensional tolerance
Size:1.25x1.0x0.5mm
Tolerance:+-0.1mm
2. Lineup from 12 Ω compatible with high frequencies.
High common mode impedance up to 200Ω (at… | Automotive powertrain/safety equipment",共模电感,SMT,1210/0504,1.25 x 1 x 0.5 mm,"1.25mm ±0.1mm,1mm ±0.1mm,0.5mm ±0.1mm,SMD | Common mode impedance: 12Ω ±5Ω | Rated current: 100mA | 1.125Ω | -55～125℃ | 1. Small size and tight dimensional tolerance
Size:1.25x1.0x0.5mm
Tolerance:+-0.1mm
2. Lineup from 12 Ω compatible with high frequencies.
High common mode impedance up to 200Ω (at…",Active,1.25,1,0.5,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/QFLD9101_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20251015092305,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,-55～125℃,,,,,,12Ω ±5Ω,Ω,100mA,1.125Ω,1,,,,,,12Ω ±5Ω,Murata DLM 共模电感系列,Murata official PIM API,,,,,,,,,,,1.25 x 1 x 0.5 mm,Common Mode Choke
村田Murata,DLW32MH201MK2#,DLW,,,,,,,Rated current: 70mA | Circuit: 1,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/QFLC9134_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20260109101140,"1. Effective in suppressing noise emission from signal lines in in-vehicle networks such as 100BASE-T1
(OPEN Alliance CMC test specification compliant)
2. By achieving high common… | Automotive powertrain/safety equipment",共模电感,SMT,3225/1210,3.5 x 2.5 x 2.5 mm,"3.5mm ±0.4mm,2.5mm ±0.2mm,2.5mm Max.,SMD | Rated current: 70mA | 4.8Ω | -40～125℃ | 1. Effective in suppressing noise emission from signal lines in in-vehicle networks such as 100BASE-T1
(OPEN Alliance CMC test specification compliant)
2. By achieving high common…",Active,3.5,2.5,2.5,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/QFLC9134_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20260109101140,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,-40～125℃,,,,,,,,70mA,4.8Ω,1,200,μH,,,,,Murata DLW 共模电感系列,Murata official PIM API,,,,,,,,,,,3.5 x 2.5 x 2.5 mm,Common Mode Choke
村田Murata,DLW32MH241MX2#,DLW,,,,,,,Rated current: 70mA | Circuit: 1,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/QFLC9132_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20260109100949,"1. Effective in suppressing noise emission from signal lines in in-vehicle networks such as 10BASE-T1S.
(OPEN Alliance CMC test specification CMR/Cpara/DCMR Class3 compliant)
2. B… | Automotive powertrain/safety equipment",共模电感,SMT,3225/1210,3.5 x 2.5 x 2.5 mm,"3.5mm ±0.4mm,2.5mm ±0.2mm,2.5mm Max.,SMD | Rated current: 70mA | 4.1Ω | -40～125℃ | 1. Effective in suppressing noise emission from signal lines in in-vehicle networks such as 10BASE-T1S.
(OPEN Alliance CMC test specification CMR/Cpara/DCMR Class3 compliant)
2. B…",Active,3.5,2.5,2.5,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/QFLC9132_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20260109100949,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,-40～125℃,,,,,,,,70mA,4.1Ω,1,240,μH,,,,,Murata DLW 共模电感系列,Murata official PIM API,,,,,,,,,,,3.5 x 2.5 x 2.5 mm,Common Mode Choke
村田Murata,DLW32SH101MF2#,DLW,,,,,,,Rated current: 115mA | Circuit: 1,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/QFLC9133_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20260119111553,"1. Effective in suppressing noise emission from signal lines in in-vehicle networks such as CAN/CAN-FD
(IEC62228-3 DCMR Class3 compliant)
2. By achieving high common mode impedanc… | Automotive powertrain/safety equipment",共模电感,SMT,3225/1210,3.5 x 2.5 x 2.5 mm,"3.5mm ±0.4mm,2.5mm ±0.2mm,2.5mm Max.,SMD | Rated current: 115mA | 2.1Ω | -55～150℃ | 1. Effective in suppressing noise emission from signal lines in in-vehicle networks such as CAN/CAN-FD
(IEC62228-3 DCMR Class3 compliant)
2. By achieving high common mode impedanc…",Active,3.5,2.5,2.5,https://pim.murata.com/asset/pim4/commonModeChokeCoilCommonModeNoiseFilter/QFLC9133_PDF_COMMONMODECHOKECOILCOMMONMODENOISEFILTER?lastModifiedDatetime=20260119111553,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API cmc page 1,,,,,,,-55～150℃,,,,,,,,115mA,2.1Ω,1,100,μH,,,,,Murata DLW 共模电感系列,Murata official PIM API,,,,,,,,,,,3.5 x 2.5 x 2.5 mm,Common Mode Choke
