品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size,特殊用途
村田Murata,LQP01HV0N3B02#,LQP01HV_02,,,,,,,"Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,0.3nH ±0.1nH,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃) | 0.04Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",0.04Ω,,0.3,nH,±0.1nH,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
村田Murata,LQP01HV0N4B02#,LQP01HV_02,,,,,,,"Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,0.4nH ±0.1nH,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃) | 0.07Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",0.07Ω,,0.4,nH,±0.1nH,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
村田Murata,LQP01HV0N5B02#,LQP01HV_02,,,,,,,"Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,0.5nH ±0.1nH,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃) | 0.07Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",0.07Ω,,0.5,nH,±0.1nH,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
村田Murata,LQP01HV0N6B02#,LQP01HV_02,,,,,,,"Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,0.6nH ±0.1nH,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃) | 0.07Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",0.07Ω,,0.6,nH,±0.1nH,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
村田Murata,LQP01HV0N7B02#,LQP01HV_02,,,,,,,"Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,0.7nH ±0.1nH,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃) | 0.08Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",0.08Ω,,0.7,nH,±0.1nH,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
村田Murata,LQP01HV0N8B02#,LQP01HV_02,,,,,,,"Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,0.8nH ±0.1nH,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃) | 0.11Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",0.11Ω,,0.8,nH,±0.1nH,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
村田Murata,LQP01HV0N9B02#,LQP01HV_02,,,,,,,"Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,0.9nH ±0.1nH,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃) | 0.11Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"500mA(Ambient temp.85℃)
250mA(Ambient temp.105℃)",0.11Ω,,0.9,nH,±0.1nH,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
村田Murata,LQP01HV10NH02#,LQP01HV_02,,,,,,,"Current: 70mA(Ambient temp.85℃)
35mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,10nH ±3%,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 70mA(Ambient temp.85℃)
35mA(Ambient temp.105℃) | 2.3Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"70mA(Ambient temp.85℃)
35mA(Ambient temp.105℃)",2.3Ω,,10,nH,±3%,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
村田Murata,LQP01HV11NH02#,LQP01HV_02,,,,,,,"Current: 70mA(Ambient temp.85℃)
35mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,11nH ±3%,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 70mA(Ambient temp.85℃)
35mA(Ambient temp.105℃) | 2.8Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"70mA(Ambient temp.85℃)
35mA(Ambient temp.105℃)",2.8Ω,,11,nH,±3%,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
村田Murata,LQP01HV12NH02#,LQP01HV_02,,,,,,,"Current: 70mA(Ambient temp.85℃)
35mA(Ambient temp.105℃)",https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,,射频电感,SMT,0201/008004,0.25 x 0.125 x 0.2 mm,"0.25mm ±0.013mm,0.125mm ±0.013mm,0.2mm ±0.013mm,12nH ±3%,500MHz | Film type RF Inductor | Non-Shielded | -40～105℃ | Current: 70mA(Ambient temp.85℃)
35mA(Ambient temp.105℃) | 2.8Ω",Active,0.25,0.125,0.2,https://pim.murata.com/asset/pim4/inductor/JELF243C-0039_PDF_INDUCTOR?lastModifiedDatetime=20250725201301,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API rf page 1,,,,,,,-40～105℃,,,,,,,,"70mA(Ambient temp.85℃)
35mA(Ambient temp.105℃)",2.8Ω,,12,nH,±3%,,Non-Shielded,,Murata LQP01HV_02 RF高频电感系列,Murata official PIM API,,,,,,,,,,,0.25 x 0.125 x 0.2 mm,RF Inductor
