品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明
村田Murata,DFE2MCPHR10MJLLQ,DFE2MCPH_JL,0806,,0.1,μH,±20%,,Power Inductor,"L change: 11,100mA | Temp rise: 7,500mA",https://pim.murata.com/asset/pim4/inductor/JETE243A-9109_PDF_INDUCTOR?lastModifiedDatetime=20260120085042,"Keep the temperature (ambient temperature plus self-generation of heat) under 155°C.
The rated current is the rated current based on inductance change and the rated current based on temperature rise, whichever is smaller one. | Construction: Wire wound type (Metal) | Shield: Shielded（Metal Alloy） | Operating temp: -40～155℃",功率电感,SMT,2016/0806,2 x 1.6 x 1.2 mm,"2mm ±0.2mm,1.6mm ±0.2mm,1.2mm,0.1μH ±20%,1MHz,11,100mA | Wire wound type (Metal) | Shielded（Metal Alloy） | -40～155℃ | 0.01Ω",Active,2,1.6,1.2,https://www.murata.com/search/productsearch?cate=cgInductors&partno=DFE2MCPH_JL,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-40～155℃,,,,,,,,"11,100mA",0.01Ω,,0.1,μH,±20%,,Shielded（Metal Alloy）,,Murata DFE2MCPH_JL 功率电感系列（Wire wound type (Metal)）
村田Murata,DFE2MCPHR22MJLLQ,DFE2MCPH_JL,0806,,0.22,μH,±20%,,Power Inductor,"L change: 8,200mA | Temp rise: 5,600mA",https://pim.murata.com/asset/pim4/inductor/JETE243A-9109_PDF_INDUCTOR?lastModifiedDatetime=20260120085042,"Keep the temperature (ambient temperature plus self-generation of heat) under 155°C.
The rated current is the rated current based on inductance change and the rated current based on temperature rise, whichever is smaller one. | Construction: Wire wound type (Metal) | Shield: Shielded（Metal Alloy） | Operating temp: -40～155℃",功率电感,SMT,2016/0806,2 x 1.6 x 1.2 mm,"2mm ±0.2mm,1.6mm ±0.2mm,1.2mm,0.22μH ±20%,1MHz,8,200mA | Wire wound type (Metal) | Shielded（Metal Alloy） | -40～155℃ | 0.015Ω",Active,2,1.6,1.2,https://www.murata.com/search/productsearch?cate=cgInductors&partno=DFE2MCPH_JL,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-40～155℃,,,,,,,,"8,200mA",0.015Ω,,0.22,μH,±20%,,Shielded（Metal Alloy）,,Murata DFE2MCPH_JL 功率电感系列（Wire wound type (Metal)）
村田Murata,DFE32CAH100MR0#,DFE32CAH_R0,1210,,10,μH,±20%,,Power Inductor,"L change: 1,800mA | Temp rise: 1,400mA",https://pim.murata.com/asset/pim4/inductor/JETE243A-9108_PDF_INDUCTOR?lastModifiedDatetime=20251113142359,"The saturation allowable DC current value is specified when the decrease of the initial Inductance value at 30%.
When a rated current (based on Temperature rise) is applied, the temperature rise due to self-heating of the product is 40℃ or less. 
Keep the product temperature (ambient temperature + self-heating) below 150℃.
The rated current value is the smaller of the rated current (based on Inductance change) or the rated current (based on Temperature rise). | Construction: Wire wound type (Metal) | Shield: Shielded（Metal Alloy） | Operating temp: -55～150℃",功率电感,SMT,3225/1210,3.2 x 2.5 x 2 mm,"3.2mm ±0.3mm,2.5mm ±0.3mm,2mm,10μH ±20%,1MHz,1,800mA | Wire wound type (Metal) | Shielded（Metal Alloy） | -55～150℃ | 0.21Ω",Active,3.2,2.5,2,https://www.murata.com/search/productsearch?cate=cgInductors&partno=DFE32CAH_R0,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-55～150℃,,,,,,,,"1,800mA",0.21Ω,,10,μH,±20%,,Shielded（Metal Alloy）,,Murata DFE32CAH_R0 功率电感系列（Wire wound type (Metal)）
村田Murata,DFE32CAH6R8MR0#,DFE32CAH_R0,1210,,6.8,μH,±20%,,Power Inductor,"L change: 2,200mA | Temp rise: 1,800mA",https://pim.murata.com/asset/pim4/inductor/JETE243A-9108_PDF_INDUCTOR?lastModifiedDatetime=20251113142359,"The saturation allowable DC current value is specified when the decrease of the initial Inductance value at 30%.
When a rated current (based on Temperature rise) is applied, the temperature rise due to self-heating of the product is 40℃ or less. 
Keep the product temperature (ambient temperature + self-heating) below 150℃.
The rated current value is the smaller of the rated current (based on Inductance change) or the rated current (based on Temperature rise). | Construction: Wire wound type (Metal) | Shield: Shielded（Metal Alloy） | Operating temp: -55～150℃",功率电感,SMT,3225/1210,3.2 x 2.5 x 2 mm,"3.2mm ±0.3mm,2.5mm ±0.3mm,2mm,6.8μH ±20%,1MHz,2,200mA | Wire wound type (Metal) | Shielded（Metal Alloy） | -55～150℃ | 0.135Ω",Active,3.2,2.5,2,https://www.murata.com/search/productsearch?cate=cgInductors&partno=DFE32CAH_R0,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-55～150℃,,,,,,,,"2,200mA",0.135Ω,,6.8,μH,±20%,,Shielded（Metal Alloy）,,Murata DFE32CAH_R0 功率电感系列（Wire wound type (Metal)）
村田Murata,LQW18FT1R2K0H#,LQW18FT_0H,0603,,1.2,μH,±10%,,Power Inductor,"Temp rise: 560mA(Ambient temp.85℃)
430mA(Ambient temp.105℃)
300mA(Ambient temp.125℃) | Q/SRF: 280MHz",https://pim.murata.com/asset/pim4/inductor/JELF243A-9163_PDF_INDUCTOR?lastModifiedDatetime=20250708072107,Construction: Wire wound type (Ferrite) | Shield: Shielded（Ferrite Core） | Operating temp: -40～125℃ | SRF: 280MHz,功率电感,SMT,1608/0603,1.6 x 0.94 x 1.15 mm,"1.6mm ±0.15mm,0.94mm ±0.15mm,1.15mm ±0.15mm,1.2μH ±10%,1MHz | Wire wound type (Ferrite) | Shielded（Ferrite Core） | -40～125℃ | 560mA(Ambient temp.85℃)
430mA(Ambient temp.105℃)
300mA(Ambient temp.125℃) | 0.37Ω | 280MHz",Active,1.6,0.94,1.15,https://www.murata.com/search/productsearch?cate=cgInductors&partno=LQW18FT_0H,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-40～125℃,,,,,,,,"560mA(Ambient temp.85℃)
430mA(Ambient temp.105℃)
300mA(Ambient temp.125℃)",0.37Ω,,1.2,μH,±10%,,Shielded（Ferrite Core）,,Murata LQW18FT_0H 功率电感系列（Wire wound type (Ferrite)）
村田Murata,LQW18FT1R5K0H#,LQW18FT_0H,0603,,1.5,μH,±10%,,Power Inductor,"Temp rise: 530mA(Ambient temp.85℃)
400mA(Ambient temp.105℃)
280mA(Ambient temp.125℃) | Q/SRF: 260MHz",https://pim.murata.com/asset/pim4/inductor/JELF243A-9163_PDF_INDUCTOR?lastModifiedDatetime=20250708072107,Construction: Wire wound type (Ferrite) | Shield: Shielded（Ferrite Core） | Operating temp: -40～125℃ | SRF: 260MHz,功率电感,SMT,1608/0603,1.6 x 0.94 x 1.15 mm,"1.6mm ±0.15mm,0.94mm ±0.15mm,1.15mm ±0.15mm,1.5μH ±10%,1MHz | Wire wound type (Ferrite) | Shielded（Ferrite Core） | -40～125℃ | 530mA(Ambient temp.85℃)
400mA(Ambient temp.105℃)
280mA(Ambient temp.125℃) | 0.42Ω | 260MHz",Active,1.6,0.94,1.15,https://www.murata.com/search/productsearch?cate=cgInductors&partno=LQW18FT_0H,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-40～125℃,,,,,,,,"530mA(Ambient temp.85℃)
400mA(Ambient temp.105℃)
280mA(Ambient temp.125℃)",0.42Ω,,1.5,μH,±10%,,Shielded（Ferrite Core）,,Murata LQW18FT_0H 功率电感系列（Wire wound type (Ferrite)）
村田Murata,LQW18FT2R2K0H#,LQW18FT_0H,0603,,2.2,μH,±10%,,Power Inductor,"Temp rise: 390mA(Ambient temp.85℃)
300mA(Ambient temp.105℃)
200mA(Ambient temp.125℃) | Q/SRF: 240MHz",https://pim.murata.com/asset/pim4/inductor/JELF243A-9163_PDF_INDUCTOR?lastModifiedDatetime=20250708072107,Construction: Wire wound type (Ferrite) | Shield: Shielded（Ferrite Core） | Operating temp: -40～125℃ | SRF: 240MHz,功率电感,SMT,1608/0603,1.6 x 0.94 x 1.15 mm,"1.6mm ±0.15mm,0.94mm ±0.15mm,1.15mm ±0.15mm,2.2μH ±10%,1MHz | Wire wound type (Ferrite) | Shielded（Ferrite Core） | -40～125℃ | 390mA(Ambient temp.85℃)
300mA(Ambient temp.105℃)
200mA(Ambient temp.125℃) | 0.77Ω | 240MHz",Active,1.6,0.94,1.15,https://www.murata.com/search/productsearch?cate=cgInductors&partno=LQW18FT_0H,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-40～125℃,,,,,,,,"390mA(Ambient temp.85℃)
300mA(Ambient temp.105℃)
200mA(Ambient temp.125℃)",0.77Ω,,2.2,μH,±10%,,Shielded（Ferrite Core）,,Murata LQW18FT_0H 功率电感系列（Wire wound type (Ferrite)）
村田Murata,LQW18FTR55K0H#,LQW18FT_0H,0603,,0.55,μH,±10%,,Power Inductor,"Temp rise: 800mA(Ambient temp.85℃)
610mA(Ambient temp.105℃)
420mA(Ambient temp.125℃) | Q/SRF: 700MHz",https://pim.murata.com/asset/pim4/inductor/JELF243A-9163_PDF_INDUCTOR?lastModifiedDatetime=20250708072107,Construction: Wire wound type (Ferrite) | Shield: Shielded（Ferrite Core） | Operating temp: -40～125℃ | SRF: 700MHz,功率电感,SMT,1608/0603,1.6 x 0.94 x 1.15 mm,"1.6mm ±0.15mm,0.94mm ±0.15mm,1.15mm ±0.15mm,0.55μH ±10%,1MHz | Wire wound type (Ferrite) | Shielded（Ferrite Core） | -40～125℃ | 800mA(Ambient temp.85℃)
610mA(Ambient temp.105℃)
420mA(Ambient temp.125℃) | 0.19Ω | 700MHz",Active,1.6,0.94,1.15,https://www.murata.com/search/productsearch?cate=cgInductors&partno=LQW18FT_0H,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-40～125℃,,,,,,,,"800mA(Ambient temp.85℃)
610mA(Ambient temp.105℃)
420mA(Ambient temp.125℃)",0.19Ω,,0.55,μH,±10%,,Shielded（Ferrite Core）,,Murata LQW18FT_0H 功率电感系列（Wire wound type (Ferrite)）
村田Murata,LQW32FT130M2H#,LQW32FT_2H,1210,,13,μH,±20%,,Power Inductor,L change: 550mA | Temp rise: 550mA | Q/SRF: 100MHz,https://pim.murata.com/asset/pim4/inductor/JELF243A-9164_PDF_INDUCTOR?lastModifiedDatetime=20260108154218,Construction: Wire wound type (Ferrite) | Shield: Shielded（Ferrite Core） | Operating temp: -40～125℃ | SRF: 100MHz,功率电感,SMT,3225/1210,3.2 x 2.5 x 2.3 mm,"3.2mm ±0.2mm,2.5mm ±0.2mm,2.3mm ±0.2mm,13μH ±20%,1MHz,550mA | Wire wound type (Ferrite) | Shielded（Ferrite Core） | -40～125℃ | 0.51Ω | 100MHz",Active,3.2,2.5,2.3,https://www.murata.com/search/productsearch?cate=cgInductors&partno=LQW32FT_2H,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-40～125℃,,,,,,,,550mA,0.51Ω,,13,μH,±20%,,Shielded（Ferrite Core）,,Murata LQW32FT_2H 功率电感系列（Wire wound type (Ferrite)）
村田Murata,LQW32FT220M2H#,LQW32FT_2H,1210,,22,μH,±20%,,Power Inductor,"L change: 400mA | Temp rise: 430mA(Ambient temp.105℃)
300mA(Ambient temp.125℃) | Q/SRF: 70MHz",https://pim.murata.com/asset/pim4/inductor/JELF243A-9164_PDF_INDUCTOR?lastModifiedDatetime=20260108154218,Construction: Wire wound type (Ferrite) | Shield: Shielded（Ferrite Core） | Operating temp: -40～125℃ | SRF: 70MHz,功率电感,SMT,3225/1210,3.2 x 2.5 x 2.3 mm,"3.2mm ±0.2mm,2.5mm ±0.2mm,2.3mm ±0.2mm,22μH ±20%,1MHz,400mA | Wire wound type (Ferrite) | Shielded（Ferrite Core） | -40～125℃ | 400mA | 430mA(Ambient temp.105℃)
300mA(Ambient temp.125℃) | 0.81Ω | 70MHz",Active,3.2,2.5,2.3,https://www.murata.com/search/productsearch?cate=cgInductors&partno=LQW32FT_2H,Murata official PIM API,官方API抽取,2026-04-19,Murata PIM product search API page 1,,,,,,,-40～125℃,,,,,,,,400mA,0.81Ω,,22,μH,±20%,,Shielded（Ferrite Core）,,Murata LQW32FT_2H 功率电感系列（Wire wound type (Ferrite)）
