品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明
Bourns,PQ2614BHA,PQ2614BHA,28 x 28 x 16 mm,,2.2,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: Yes,功率电感,SMT,28 x 28 x 16 mm,28 x 28 x 16 mm,2.2 22 3.2 30 | -40 to +155 | Yes | Yes,Active,28,28,16,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,PQ2614BLA,PQ2614BLA,28 x 28 x 16 mm,,1,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: Yes,功率电感,SMT,28 x 28 x 16 mm,28 x 28 x 16 mm,1 33 7.5 30 | -40 to +155 | Yes | Yes,Active,28,28,16,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,PQ2617BHA,PQ2617BHA,28 x 28 x 19 mm,,3.3,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: Yes,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: Yes,功率电感,SMT,28 x 28 x 19 mm,28 x 28 x 19 mm,3.3 33 7.5 28 | -40 to +155 | Yes | Yes,Active,28,28,19,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0310,SRP0310,3.4 x 3.1 x 1 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.4 x 3.1 x 1 mm,3.4 x 3.1 x 1 mm,3R3 | 0.47 4.7 1.8 5.6 | -40 to +125 | No | N/A,Active,3.4,3.1,1,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0312,SRP0312,3.4 x 3.1 x 1.2 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.4 x 3.1 x 1.2 mm,3.4 x 3.1 x 1.2 mm,3R3 | 0.47 4.7 1.9 6.6 | -40 to +125 | No | N/A,Active,3.4,3.1,1.2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0315,SRP0315,3.4 x 3.1 x 1.5 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.4 x 3.1 x 1.5 mm,3.4 x 3.1 x 1.5 mm,3R3 | 0.47 4.7 2.3 9 | -40 to +125 | No | N/A,Active,3.4,3.1,1.5,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0320,SRP0320,3.4 x 3.1 x 2 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.4 x 3.1 x 2 mm,3.4 x 3.1 x 2 mm,3R3 | 0.47 4.7 2.2 7.4 | -40 to +125 | No | N/A,Active,3.4,3.1,2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0410,SRP0410,4.4 x 4.1 x 1 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,4.4 x 4.1 x 1 mm,4.4 x 4.1 x 1 mm,4R7 | 0.47 10 1.4 5.2 | -40 to +125 | No | N/A,Active,4.4,4.1,1,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0412,SRP0412,4.4 x 4.1 x 1.2 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,4.4 x 4.1 x 1.2 mm,4.4 x 4.1 x 1.2 mm,4R7 | 0.47 10 1.7 7.6 | -40 to +125 | No | N/A,Active,4.4,4.1,1.2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0415,SRP0415,4.4 x 4.1 x 1.5 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,4.4 x 4.1 x 1.5 mm,4.4 x 4.1 x 1.5 mm,4R7 | 0.47 10 1.9 9.3 | -40 to +125 | No | N/A,Active,4.4,4.1,1.5,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0420,SRP0420,4.4 x 4.1 x 2 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,4.4 x 4.1 x 2 mm,4.4 x 4.1 x 2 mm,4R7 | 0.47 10 1.8 10.5 | -40 to +125 | No | N/A,Active,4.4,4.1,2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0510,SRP0510,5.4 x 5.1 x 1 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.4 x 5.1 x 1 mm,5.4 x 5.1 x 1 mm,3R3 | 0.47 10 1.6 5 | -40 to +125 | No | N/A,Active,5.4,5.1,1,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
