品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
Panasonic(松下),ETQP3M100HFN,ETQP3M100,,,,,,,Automotive,Source archive: ETQP3M100HFN,Model PDF: ETQP3M100HFN,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M100HFN,功率电感,SMT,ETQP3M100,6mm square,L1=9.3775uH | C1=10.5pF | R2=0.0675Ω | R1=13681.03Ω | 6mm square | Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M100HFN,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M100HFN,,,,,,,,,,,,,,,,,,9.3775,uH,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,6mm square
Panasonic(松下),ETQP3M100KVN,ETQP3M100,,,,,,,Automotive,Source archive: ETQP3M100KVN,Model PDF: ETQP3M100KVN,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M100KVN,功率电感,SMT,ETQP3M100,6mm square,L1=9.814uH | C1=10.33pF | R2=0.0749Ω | R1=16763.7Ω | 6mm square | Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M100KVN,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M100KVN,,,,,,,,,,,,,,,,,,9.814,uH,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,6mm square
Panasonic(松下),ETQP3M100KVP,ETQP3M100,,,,,,,Automotive,Source archive: ETQP3M100KVP,Model PDF: ETQP3M100KVP,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M100KVP,功率电感,SMT,ETQP3M100,5mm square,L1=9.3777uH | C1=7.03pF | R2=0.0976Ω | R1=17827.1Ω | 5mm square | Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M100KVP,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M100KVP,,,,,,,,,,,,,,,,,,9.3777,uH,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,5mm square
Panasonic(松下),ETQP3M100YFP,ETQP3M100,,,,,,,Automotive,Source archive: ETQP3M100YFP,Model PDF: ETQP3M100YFP,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M100YFP,功率电感,SMT,ETQP3M100,,Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M100YFP,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M100YFP,,,,,,,,,,,,,,,,,,,,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,
Panasonic(松下),ETQP3M150KVN,ETQP3M150,,,,,,,Automotive,Source archive: ETQP3M150KVN,Model PDF: ETQP3M150KVN,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M150KVN,功率电感,SMT,ETQP3M150,6mm square,L1=15.0217uH | C1=11.52pF | R2=0.1015Ω | R1=23927.6Ω | 6mm square | Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M150KVN,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M150KVN,,,,,,,,,,,,,,,,,,15.0217,uH,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,6mm square
Panasonic(松下),ETQP3M1R0KVN,ETQP3M1R0,,,,,,,Automotive,Source archive: ETQP3M1R0KVN,Model PDF: ETQP3M1R0KVN,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R0KVN,功率电感,SMT,ETQP3M1R0,6mm square,L1=0.9068uH | C1=8.74pF | R2=0.0064Ω | R1=1727.57Ω | 6mm square | Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R0KVN,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M1R0KVN,,,,,,,,,,,,,,,,,,0.9068,uH,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,6mm square
Panasonic(松下),ETQP3M1R0KVP,ETQP3M1R0,,,,,,,Automotive,Source archive: ETQP3M1R0KVP,Model PDF: ETQP3M1R0KVP,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R0KVP,功率电感,SMT,ETQP3M1R0,5mm square,L1=0.924uH | C1=7.51pF | R2=0.0092Ω | R1=2007.59Ω | 5mm square | Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R0KVP,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M1R0KVP,,,,,,,,,,,,,,,,,,0.924,uH,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,5mm square
Panasonic(松下),ETQP3M1R0YFN,ETQP3M1R0,,,,,,,Automotive,Source archive: ETQP3M1R0YFN,Model PDF: ETQP3M1R0YFN,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R0YFN,功率电感,SMT,ETQP3M1R0,6mm square,L1=0.89uH | C1=5.32pF | R2=0.0079Ω | R1=1224.6341Ω | 6mm square | Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R0YFN,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M1R0YFN,,,,,,,,,,,,,,,,,,0.89,uH,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,6mm square
Panasonic(松下),ETQP3M1R5KVN,ETQP3M1R5,,,,,,,Automotive,Source archive: ETQP3M1R5KVN,Model PDF: ETQP3M1R5KVN,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R5KVN,功率电感,SMT,ETQP3M1R5,6mm square,L1=1.3329uH | C1=8.67pF | R2=0.0108Ω | R1=2685.14Ω | 6mm square | Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R5KVN,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M1R5KVN,,,,,,,,,,,,,,,,,,1.3329,uH,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,6mm square
Panasonic(松下),ETQP3M1R5KVP,ETQP3M1R5,,,,,,,Automotive,Source archive: ETQP3M1R5KVP,Model PDF: ETQP3M1R5KVP,Power model page: https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R5KVP,功率电感,SMT,ETQP3M1R5,5mm square,L1=1.3326uH | C1=7.7pF | R2=0.0121Ω | R1=2761.96Ω | 5mm square | Power Choke Coils for Automotive application,Production,,,,https://industrial.panasonic.com/ww/products/pt/automotive-inductors/models/ETQP3M1R5KVP,Panasonic official PCC_Spara zip,官方PDF抽取,2026-04-19 17:36,Panasonic PCC_Spara | ETQP3M1R5KVP,,,,,,,,,,,,,,,,,,1.3326,uH,,,,,Power Choke Coils for Automotive application,panasonic_pcc_spara,,,,,,,,,,,5mm square
