品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
三星Samsung,CIGT160808XMR24MN#,CIGT160808XM,0603,,,,,,Power Inductor,Isat Max: 4.1A | Itemp Max: 4.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0603,1.60±0.20mm x 0.80±0.20mm x 0.8mm,L=0.24 | Tol=20 | Isat=4.1A | Itemp=4.3A | DCR=0.024Ω | 1.60±0.20mm x 0.80±0.20mm x 0.8mm,Active,1.6,0.8,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.3A,0.024Ω,,0.24,UH,20,4.1A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.60±0.20mm x 0.80±0.20mm x 0.8mm
三星Samsung,CIGT1608R6EH1R0MN#,CIGT1608R6EH,0603,,,,,,Power Inductor,Isat Max: 1.7A | Itemp Max: 1.5A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0603,1.60±0.20mm x 0.80±0.20mm x 0.65mm,L=1 | Tol=20 | Isat=1.7A | Itemp=1.5A | DCR=0.16Ω | 1.60±0.20mm x 0.80±0.20mm x 0.65mm,Active,1.6,0.8,0.65,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.5A,0.16Ω,,1,UH,20,1.7A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.60±0.20mm x 0.80±0.20mm x 0.65mm
三星Samsung,CIGT201210UHR24MN#,CIGT201210UH,0805,,,,,,Power Inductor,Isat Max: 6.6A | Itemp Max: 4.4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0805,2.00±0.20mm x 1.25±0.20mm x 1mm,L=0.24 | Tol=20 | Isat=6.6A | Itemp=4.4A | DCR=0.022Ω | 2.00±0.20mm x 1.25±0.20mm x 1mm,Active,2,1.25,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.4A,0.022Ω,,0.24,UH,20,6.6A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.25±0.20mm x 1mm
三星Samsung,CIGT201206EHR47MR#,CIGT201206EH,0805,,,,,,Power Inductor,Isat Max: 3.1A | Itemp Max: 3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0805,2.10±0.10mm x 1.30±0.10mm x 0.6mm,L=0.47 | Tol=20 | Isat=3.1A | Itemp=3A | DCR=0.05Ω | 2.10±0.10mm x 1.30±0.10mm x 0.6mm,Active,2.1,1.3,0.6,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3A,0.05Ω,,0.47,UH,20,3.1A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.10±0.10mm x 1.30±0.10mm x 0.6mm
三星Samsung,CIGT201208EHR47MN#,CIGT201208EH,0805,,,,,,Power Inductor,Isat Max: 4.1A | Itemp Max: 3.7A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0805,2.00±0.20mm x 1.25±0.20mm x 0.8mm,L=0.47 | Tol=20 | Isat=4.1A | Itemp=3.7A | DCR=0.035Ω | 2.00±0.20mm x 1.25±0.20mm x 0.8mm,Active,2,1.25,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.7A,0.035Ω,,0.47,UH,20,4.1A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.25±0.20mm x 0.8mm
三星Samsung,CIGT201210EHR47MN#,CIGT201210EH,0805,,,,,,Power Inductor,Isat Max: 5.1A | Itemp Max: 4.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0805,2.00±0.20mm x 1.25±0.20mm x 1mm,L=0.47 | Tol=20 | Isat=5.1A | Itemp=4.3A | DCR=0.025Ω | 2.00±0.20mm x 1.25±0.20mm x 1mm,Active,2,1.25,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.3A,0.025Ω,,0.47,UH,20,5.1A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.25±0.20mm x 1mm
三星Samsung,CIGT201210UHR47MN#,CIGT201210UH,0805,,,,,,Power Inductor,Isat Max: 4.9A | Itemp Max: 3.6A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0805,2.00±0.20mm x 1.25±0.20mm x 1mm,L=0.47 | Tol=20 | Isat=4.9A | Itemp=3.6A | DCR=0.031Ω | 2.00±0.20mm x 1.25±0.20mm x 1mm,Active,2,1.25,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.6A,0.031Ω,,0.47,UH,20,4.9A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.25±0.20mm x 1mm
三星Samsung,CIGT201210UMR47MN#,CIGT201210UM,0805,,,,,,Power Inductor,Isat Max: 3A | Itemp Max: 3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0805,2.00±0.20mm x 1.25±0.20mm x 1mm,L=0.47 | Tol=20 | Isat=3A | Itemp=3A | DCR=0.04Ω | 2.00±0.20mm x 1.25±0.20mm x 1mm,Active,2,1.25,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3A,0.04Ω,,0.47,UH,20,3A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.25±0.20mm x 1mm
三星Samsung,CIGT201208EKR56MR#,CIGT201208EK,0805,,,,,,Power Inductor,Isat Max: 3.2A | Itemp Max: 3.2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0805,2.10±0.10mm x 1.30±0.10mm x 0.8mm,L=0.56 | Tol=20 | Isat=3.2A | Itemp=3.2A | DCR=0.048Ω | 2.10±0.10mm x 1.30±0.10mm x 0.8mm,Active,2.1,1.3,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.2A,0.048Ω,,0.56,UH,20,3.2A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.10±0.10mm x 1.30±0.10mm x 0.8mm
三星Samsung,CIGT201210UHR68MN#,CIGT201210UH,0805,,,,,,Power Inductor,Isat Max: 4A | Itemp Max: 3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0805,2.00±0.20mm x 1.25±0.20mm x 1mm,L=0.68 | Tol=20 | Isat=4A | Itemp=3A | DCR=0.047Ω | 2.00±0.20mm x 1.25±0.20mm x 1mm,Active,2,1.25,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3A,0.047Ω,,0.68,UH,20,4A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.25±0.20mm x 1mm
三星Samsung,CIGT201206EH1R0MN#,CIGT201206EH,0805,,,,,,Power Inductor,Isat Max: 2.4A | Itemp Max: 1.8A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0805,2.00±0.20mm x 1.25±0.20mm x 0.6mm,L=1 | Tol=20 | Isat=2.4A | Itemp=1.8A | DCR=0.11Ω | 2.00±0.20mm x 1.25±0.20mm x 0.6mm,Active,2,1.25,0.6,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.8A,0.11Ω,,1,UH,20,2.4A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.25±0.20mm x 0.6mm
