品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
TDK,MLG0603P0N6BT000,MLG0603P,0201,CERAMIC,0.6,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,L=0.6nH | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P0N6BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=0.6nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P0N6BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,1A,60mΩ max,,0.6,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P0N7BT000,MLG0603P,0201,CERAMIC,0.7,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,L=0.7nH | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P0N7BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=0.7nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P0N7BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,1A,60mΩ max,,0.7,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P0N8BT000,MLG0603P,0201,CERAMIC,0.8,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,L=0.8nH | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P0N8BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=0.8nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P0N8BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,1A,60mΩ max,,0.8,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P0N9BT000,MLG0603P,0201,CERAMIC,0.9,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,L=0.9nH | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P0N9BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=0.9nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P0N9BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,1A,60mΩ max,,0.9,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P1N0BT000,MLG0603P,0201,CERAMIC,1.0,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,Q=14 | SRF=10GHz | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N0BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=1.0nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N0BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,1A,20mΩ max,,1.0,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P1N1BT000,MLG0603P,0201,CERAMIC,1.1,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,Q=14 | SRF=10GHz | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N1BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=1.1nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N1BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,1A,70mΩ max,,1.1,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P1N2BT000,MLG0603P,0201,CERAMIC,1.2,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,Q=14 | SRF=16GHz | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N2BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=1.2nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N2BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,800mA,80mΩ max,,1.2,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P1N5BT000,MLG0603P,0201,CERAMIC,1.5,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,Q=14 | SRF=14.9GHz | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N5BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=1.5nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N5BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,800mA,30mΩ typ / 100mΩ max,,1.5,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P1N6BT000,MLG0603P,0201,CERAMIC,1.6,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,Q=14 | SRF=13.4GHz | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N6BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=1.6nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N6BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,700mA,100mΩ max,,1.6,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P1N8BT000,MLG0603P,0201,CERAMIC,1.8,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,Q=14 | SRF=9GHz | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N8BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=1.8nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P1N8BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,700mA,100mΩ max,,1.8,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
TDK,MLG0603P2N0BT000,MLG0603P,0201,CERAMIC,2.0,NH,±0.1nH,,高Q射频电感（High Q RF Chip Inductor）,Q=14 | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P2N0BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf,射频电感,SMT,0201,0.6 x 0.3 x 0.3 mm,L=2.0nH | B tolerance ±0.1nH | 0201 / 0.6 x 0.3 x 0.3 mm | TDK official catalog: high Q type inductor for high-frequency circuits; inductance range 0.6 to 120nH; 0.1nH step lineup; operating temperature -55 to +125C,Active,0.6,0.3,0.3,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MLG0603P2N0BT000,TDK official product page,官方网页抽取,2026-04-19,TDK MLG0603P official product page and catalog PDF,,,,,,,,,,,,,,,600mA,100mΩ max,,2.0,NH,±0.1nH,,,,TDK MLG0603P 射频电感系列 (Multilayer Non-Mag Core High Q RF Chip Inductor),,,,,,,,,,,,
