品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,工作温度,官网链接,数据来源,数据状态,校验时间,校验备注,额定电流,DCR,电感值,电感单位,电感误差,饱和电流,屏蔽类型,系列说明,_model_rule_authority
Vishay(威世),ICM2020-A,ICM2020-A,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay automotive power inductor series,功率电感,SMT,2020,,Irms=8.5A | Case=2020 | Temp=-55 to +125,Production,,,,-55 to +125,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,8.5,,,,,,,Vishay automotive power inductor series,vishay_ihlp_power_inductors_automotive
Vishay(威世),IFLN-1210BE-A,IFLN-1210BE-A,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay automotive power inductor series,功率电感,SMT,1210,,Irms=0.3A | Case=1210 | Temp=-55 to +150,Production,,,,-55 to +150,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,0.3,,,,,,,Vishay automotive power inductor series,vishay_ihlp_power_inductors_automotive
Vishay(威世),IFLN-1812CZ-A,IFLN-1812CZ-A,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay automotive power inductor series,功率电感,SMT,1812,,Irms=0.36A | Case=1812 | Temp=-55 to +150,Production,,,,-55 to +150,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,0.36,,,,,,,Vishay automotive power inductor series,vishay_ihlp_power_inductors_automotive
Vishay(威世),IHDM-1107BB-xA,IHDM-1107BB-xA,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,"Automotive, High Current, Through-Hole Inductor, Edge-Wound Series",功率电感,THT,1107,,L=0.47~12uH | Irms=128A | Isat=343A | Case=1107 | Temp=-40 to +180,Production,,,,-40 to +180,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,128,,0.47,uH,,343,,"Automotive, High Current, Through-Hole Inductor, Edge-Wound Series",vishay_ihlp_power_inductors_automotive
Vishay(威世),IHDV0808AC-3A,IHDV0808AC-3A,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,"Automotive Power Inductor, High Isolation Voltage 1.5 kV, SMD, High Temperature 180 °C",功率电感,SMT,0808,,L=1.9uH | Irms=30A | Isat=80A | Case=0808 | Temp=-40 to +180,Production,,,,-40 to +180,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,30,,1.9,uH,,80,,"Automotive Power Inductor, High Isolation Voltage 1.5 kV, SMD, High Temperature 180 °C",vishay_ihlp_power_inductors_automotive
Vishay(威世),IHDV1008BB-3A,IHDV1008BB-3A,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,"Automotive Power Inductor, High Isolation Voltage 1.5 kV, Through-Hole, High Temperature 180 °C",功率电感,THT,1008,,L=10uH | Irms=30A | Isat=53A | Case=1008 | Temp=-40 to +180,Production,,,,-40 to +180,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,30,,10,uH,,53,,"Automotive Power Inductor, High Isolation Voltage 1.5 kV, Through-Hole, High Temperature 180 °C",vishay_ihlp_power_inductors_automotive
Vishay(威世),IHLD2525GG-A1,IHLD2525GG-A1,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,"Automotive 2-in-1 Package, High Current, Dual Inductor, Linear Saturation Series for Reduced Signal Distortion",功率电感,SMT,2525,,L=3.3~15uH | Irms=6.5A | Isat=14A | Case=2525 | Temp=-55 to +125,Production,,,,-55 to +125,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,6.5,,3.3,uH,,14,,"Automotive 2-in-1 Package, High Current, Dual Inductor, Linear Saturation Series for Reduced Signal Distortion",vishay_ihlp_power_inductors_automotive
Vishay(威世),IHLE-2020CD-5A,IHLE-2020CD-5A,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,IHLE® High Current Inductor With E-Field Shield 5.7 x 5.4 x 3.4,功率电感,SMT,2020,5.7 x 5.4 x 3.4 mm,L=0.22~15uH | Irms=18A | Isat=8.6A | Case=2020 | 5.7 x 5.4 x 3.4 mm | Temp=-55 to +155,Production,5.7,5.4,3.4,-55 to +155,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,18,,0.22,uH,,8.6,Shielded,IHLE® High Current Inductor With E-Field Shield 5.7 x 5.4 x 3.4,vishay_ihlp_power_inductors_automotive
Vishay(威世),IHLE-2525CD-5A,IHLE-2525CD-5A,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,IHLE® High Current Inductors With E-Field Shield 7.2 x 6.7 x 3.4,功率电感,SMT,2525,7.2 x 6.7 x 3.4 mm,L=0.47~22uH | Irms=20A | Isat=17A | Case=2525 | 7.2 x 6.7 x 3.4 mm | Temp=-55 to +155,Production,7.2,6.7,3.4,-55 to +155,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,20,,0.47,uH,,17,Shielded,IHLE® High Current Inductors With E-Field Shield 7.2 x 6.7 x 3.4,vishay_ihlp_power_inductors_automotive
Vishay(威世),IHLE-3232DD-5A,IHLE-3232DD-5A,,,,,,,Automotive power inductor,PageGroup=Automotive,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,IHLE® High Current Inductors With E-Field Shield 8.0 x 8.0 x 4.4,功率电感,SMT,3232,8 x 8 x 4.4 mm,L=0.22~33uH | Irms=36A | Isat=32A | Case=3232 | 8 x 8 x 4.4 mm | Temp=-55 to +155,Production,8,8,4.4,-55 to +155,https://www.vishay.com/en/inductors/ihlp-power-inductors-automotive/,Vishay official parametric table,官方网页抽取,2026-04-19 02:46,Vishay Automotive parametric table,36,,0.22,uH,,32,Shielded,IHLE® High Current Inductors With E-Field Shield 8.0 x 8.0 x 4.4,vishay_ihlp_power_inductors_automotive
