品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
Wurth Elektronik,7443630070,WE-HCF,,MnZn,,,,7443630070 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC0.7 µH, 54.7 A, 63 A",https://www.we-online.com/en/components/products/WE-HCF,0.7 A | 54.7 A | 30 mΩ | 0.91 MHz | 7443630070,功率电感,SMT,,,"SPEC0.7 µH, 54.7 A, 63 A | L=10UH | 0.7 A | 54.7 A | 30 mΩ | 0.91 MHz | 7443630070 V | 7443630070",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,0.7 A,30 mΩ,,10,UH,7443630070,54.7 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443630140,WE-HCF,,MnZn,,,,7443630140 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC1.4 µH, 47.1 A, 55 A",https://www.we-online.com/en/components/products/WE-HCF,1.4 A | 47.1 A | 30 mΩ | 1.19 MHz | 7443630140,功率电感,SMT,,,"SPEC1.4 µH, 47.1 A, 55 A | L=10UH | 1.4 A | 47.1 A | 30 mΩ | 1.19 MHz | 7443630140 V | 7443630140",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,1.4 A,30 mΩ,,10,UH,7443630140,47.1 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443630220,WE-HCF,,MnZn,,,,7443630220 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC2.2 µH, 39.5 A, 47 A",https://www.we-online.com/en/components/products/WE-HCF,2.2 A | 39.5 A | 30 mΩ | 1.65 MHz | 7443630220,功率电感,SMT,,,"SPEC2.2 µH, 39.5 A, 47 A | L=10UH | 2.2 A | 39.5 A | 30 mΩ | 1.65 MHz | 7443630220 V | 7443630220",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,2.2 A,30 mΩ,,10,UH,7443630220,39.5 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443630310,WE-HCF,,MnZn,,,,7443630310 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC3.1 µH, 33.15 A, 41 A",https://www.we-online.com/en/components/products/WE-HCF,3.1 A | 33.15 A | 30 mΩ | 2.3 MHz | 7443630310,功率电感,SMT,,,"SPEC3.1 µH, 33.15 A, 41 A | L=10UH | 3.1 A | 33.15 A | 30 mΩ | 2.3 MHz | 7443630310 V | 7443630310",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,3.1 A,30 mΩ,,10,UH,7443630310,33.15 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443630420,WE-HCF,,MnZn,,,,7443630420 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC4.2 µH, 27 A, 34 A",https://www.we-online.com/en/components/products/WE-HCF,4.2 A | 27 A | 30 mΩ | 3.34 MHz | 7443630420,功率电感,SMT,,,"SPEC4.2 µH, 27 A, 34 A | L=10UH | 4.2 A | 27 A | 30 mΩ | 3.34 MHz | 7443630420 V | 7443630420",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,4.2 A,30 mΩ,,10,UH,7443630420,27 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443630550,WE-HCF,,MnZn,,,,7443630550 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC5.5 µH, 23.35 A, 30 A",https://www.we-online.com/en/components/products/WE-HCF,5.5 A | 23.35 A | 30 mΩ | 4.4 MHz | 7443630550,功率电感,SMT,,,"SPEC5.5 µH, 23.35 A, 30 A | L=10UH | 5.5 A | 23.35 A | 30 mΩ | 4.4 MHz | 7443630550 V | 7443630550",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,5.5 A,30 mΩ,,10,UH,7443630550,23.35 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443630700,WE-HCF,,MnZn,,,,7443630700 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC7 µH, 19.5 A, 27 A",https://www.we-online.com/en/components/products/WE-HCF,7 A | 19.5 A | 30 mΩ | 6.17 MHz | 7443630700,功率电感,SMT,,,"SPEC7 µH, 19.5 A, 27 A | L=10UH | 7 A | 19.5 A | 30 mΩ | 6.17 MHz | 7443630700 V | 7443630700",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,7 A,30 mΩ,,10,UH,7443630700,19.5 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443630860,WE-HCF,,MnZn,,,,7443630860 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC8.6 µH, 17.1 A, 23.5 A",https://www.we-online.com/en/components/products/WE-HCF,8.6 A | 17.1 A | 30 mΩ | 7.91 MHz | 7443630860,功率电感,SMT,,,"SPEC8.6 µH, 17.1 A, 23.5 A | L=10UH | 8.6 A | 17.1 A | 30 mΩ | 7.91 MHz | 7443630860 V | 7443630860",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,8.6 A,30 mΩ,,10,UH,7443630860,17.1 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443631000,WE-HCF,,MnZn,,,,7443631000 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC10 µH, 16.15 A, 22 A",https://www.we-online.com/en/components/products/WE-HCF,10 A | 16.15 A | 30 mΩ | 8.76 MHz | 7443631000,功率电感,SMT,,,"SPEC10 µH, 16.15 A, 22 A | L=10UH | 10 A | 16.15 A | 30 mΩ | 8.76 MHz | 7443631000 V | 7443631000",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,10 A,30 mΩ,,10,UH,7443631000,16.15 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443631500,WE-HCF,,MnZn,,,,7443631500 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC15 µH, 15.4 A, 19 A",https://www.we-online.com/en/components/products/WE-HCF,15 A | 15.4 A | 30 mΩ | 9.57 MHz | 7443631500,功率电感,SMT,,,"SPEC15 µH, 15.4 A, 19 A | L=10UH | 15 A | 15.4 A | 30 mΩ | 9.57 MHz | 7443631500 V | 7443631500",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,15 A,30 mΩ,,10,UH,7443631500,15.4 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443632200,WE-HCF,,MnZn,,,,7443632200 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC22 µH, 13.8 A, 13 A",https://www.we-online.com/en/components/products/WE-HCF,22 A | 13.8 A | 30 mΩ | 11.72 MHz | 7443632200,功率电感,SMT,,,"SPEC22 µH, 13.8 A, 13 A | L=10UH | 22 A | 13.8 A | 30 mΩ | 11.72 MHz | 7443632200 V | 7443632200",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,22 A,30 mΩ,,10,UH,7443632200,13.8 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443633300,WE-HCF,,MnZn,,,,7443633300 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC33 µH, 13.3 A, 9.5 A",https://www.we-online.com/en/components/products/WE-HCF,33 A | 13.3 A | 30 mΩ | 12.54 MHz | 7443633300,功率电感,SMT,,,"SPEC33 µH, 13.3 A, 9.5 A | L=10UH | 33 A | 13.3 A | 30 mΩ | 12.54 MHz | 7443633300 V | 7443633300",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,33 A,30 mΩ,,10,UH,7443633300,13.3 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443634700,WE-HCF,,MnZn,,,,7443634700 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC47 µH, 12.8 A, 7.5 A",https://www.we-online.com/en/components/products/WE-HCF,47 A | 12.8 A | 30 mΩ | 13.42 MHz | 7443634700,功率电感,SMT,,,"SPEC47 µH, 12.8 A, 7.5 A | L=10UH | 47 A | 12.8 A | 30 mΩ | 13.42 MHz | 7443634700 V | 7443634700",,,,,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,47 A,30 mΩ,,10,UH,7443634700,12.8 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,
Wurth Elektronik,7443640100B,WE-HCF,2818B,MnZn,,,,7443640100 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC1 µH, 86.2 A, 122 A",https://www.we-online.com/en/components/products/WE-HCF,1 A | 86.2 A | 30 mΩ | 0.48 MHz | 7443640100B,功率电感,SMT,2818B,27.0 x 28.0 x 18.5 mm,"SPEC1 µH, 86.2 A, 122 A | L=10UH | 1 A | 86.2 A | 30 mΩ | 0.48 MHz | 7443640100 V | 7443640100B | 2818B",,27.0,28.0,18.5,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,1 A,30 mΩ,,10,UH,7443640100B,86.2 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,27.0 x 28.0 x 18.5 mm
Wurth Elektronik,7443640150B,WE-HCF,2818B,MnZn,,,,7443640150 V,Wurth WE-HCF high-current flat-wire power inductor,"SPEC1.5 µH, 86.2 A, 85 A",https://www.we-online.com/en/components/products/WE-HCF,1.5 A | 86.2 A | 30 mΩ | 0.48 MHz | 7443640150B,功率电感,SMT,2818B,27.0 x 28.0 x 18.5 mm,"SPEC1.5 µH, 86.2 A, 85 A | L=10UH | 1.5 A | 86.2 A | 30 mΩ | 0.48 MHz | 7443640150 V | 7443640150B | 2818B",,27.0,28.0,18.5,https://www.we-online.com/en/components/products/WE-HCF,Wurth official WE-HCF product page,official,2026-04-19 02:13,Parsed from official WE-HCF product page,,,,,,,,,,,,,,,1.5 A,30 mΩ,,10,UH,7443640150B,86.2 A,,,Wurth WE-HCF high-current flat-wire power inductor series,Wurth official WE-HCF product page,,,,,,,,,,,27.0 x 28.0 x 18.5 mm
