source,rowid,brand,component_type,old_model,new_model
components.db,36878,FOJAN(富捷),厚膜电阻,FRC0603J200TS,FRC0603J200 TS
components.db,56058,FOJAN(富捷),厚膜电阻,FRC0603J105TS,FRC0603J105 TS
components.db,56059,FOJAN(富捷),厚膜电阻,FRC1210J470TS,FRC1210J470 TS
components.db,64996,FOJAN(富捷),厚膜电阻,FRC0402J123TS,FRC0402J123 TS
components.db,65011,FOJAN(富捷),厚膜电阻,FRC0603J1R1TS,FRC0603J1R1 TS
components.db,65012,FOJAN(富捷),厚膜电阻,FRC0402J115TS,FRC0402J115 TS
components.db,65013,FOJAN(富捷),厚膜电阻,FRC0402J240TS,FRC0402J240 TS
components.db,67288,FOJAN(富捷),厚膜电阻,FRC0603J132TS,FRC0603J132 TS
components.db,69571,FOJAN(富捷),厚膜电阻,FRC0603J472TS,FRC0603J472 TS
components.db,69575,FOJAN(富捷),厚膜电阻,FRC0603J331TS,FRC0603J331 TS
components.db,69576,FOJAN(富捷),厚膜电阻,FRC1206J105TS,FRC1206J105 TS
components.db,69596,FOJAN(富捷),厚膜电阻,FRC0603J103TS,FRC0603J103 TS
components.db,69598,FOJAN(富捷),厚膜电阻,FRD0805J331TS,FRD0805J331 TS
components.db,69635,FOJAN(富捷),厚膜电阻,FRC1206J104TS,FRC1206J104 TS
components.db,69636,FOJAN(富捷),厚膜电阻,FRC0603J122TS,FRC0603J122 TS
components.db,69668,FOJAN(富捷),厚膜电阻,FRC0402J220TS,FRC0402J220 TS
components.db,69819,FOJAN(富捷),厚膜电阻,FRC0603J102TS,FRC0603J102 TS
components.db,69851,FOJAN(富捷),厚膜电阻,FRC2512J473TS,FRC2512J473 TS
components.db,69856,FOJAN(富捷),厚膜电阻,FRL1210JR400TS,FRL1210JR400 TS
components.db,69871,FOJAN(富捷),厚膜电阻,FRC0603J104TS,FRC0603J104 TS
components.db,69872,FOJAN(富捷),厚膜电阻,FRC0402J8R2TS,FRC0402J8R2 TS
components.db,69972,FOJAN(富捷),厚膜电阻,FRC1812J204TS,FRC1812J204 TS
components.db,69982,FOJAN(富捷),厚膜电阻,FRC0603J107TS,FRC0603J107 TS
components.db,70096,FOJAN(富捷),厚膜电阻,FRC0603J431TS,FRC0603J431 TS
components.db,70097,FOJAN(富捷),厚膜电阻,FRC0603J201TS,FRC0603J201 TS
components.db,70121,FOJAN(富捷),厚膜电阻,FRC1206J274TS,FRC1206J274 TS
components.db,70145,FOJAN(富捷),厚膜电阻,FRC0603J430TS,FRC0603J430 TS
components.db,70205,FOJAN(富捷),厚膜电阻,FRC2010J202TS,FRC2010J202 TS
components.db,70212,FOJAN(富捷),厚膜电阻,FRC2512J103TS,FRC2512J103 TS
components.db,70215,FOJAN(富捷),厚膜电阻,FRC0603J100TS,FRC0603J100 TS
components.db,70219,FOJAN(富捷),厚膜电阻,FRC1206J5R1TS,FRC1206J5R1 TS
components.db,70226,FOJAN(富捷),厚膜电阻,FRC1206J2R2TS,FRC1206J2R2 TS
components.db,70227,FOJAN(富捷),厚膜电阻,FRC1206J302TS,FRC1206J302 TS
components.db,70234,FOJAN(富捷),厚膜电阻,FRC1812J101TS,FRC1812J101 TS
components.db,70256,FOJAN(富捷),厚膜电阻,FRC0603J223TS,FRC0603J223 TS
components.db,72886,FOJAN(富捷),厚膜电阻,FRL1206JR068TS,FRL1206JR068 TS
components.db,72898,FOJAN(富捷),厚膜电阻,FRC2512J204TS,FRC2512J204 TS
components.db,117185,FOJAN(富捷),厚膜电阻,FRC0603J202TS,FRC0603J202 TS
components.db,117186,FOJAN(富捷),厚膜电阻,FRC0603J101TS,FRC0603J101 TS
components.db,117189,FOJAN(富捷),厚膜电阻,FRC0603J473TS,FRC0603J473 TS
components.db,117215,FOJAN(富捷),厚膜电阻,FRC0805J113TS,FRC0805J113 TS
components.db,117336,FOJAN(富捷),厚膜电阻,FRC2512J302TS,FRC2512J302 TS
components.db,117342,FOJAN(富捷),厚膜电阻,FRC0805J102TS,FRC0805J102 TS
components.db,117345,FOJAN(富捷),厚膜电阻,FRC0805J104TS,FRC0805J104 TS
components.db,117369,FOJAN(富捷),厚膜电阻,FRC2512J4R7TS,FRC2512J4R7 TS
components.db,117402,FOJAN(富捷),厚膜电阻,FRC0805J2R0TS,FRC0805J2R0 TS
components.db,117439,FOJAN(富捷),厚膜电阻,FRC1812J114TS,FRC1812J114 TS
components.db,117445,FOJAN(富捷),厚膜电阻,FRL1206JR082TS,FRL1206JR082 TS
components.db,117447,FOJAN(富捷),厚膜电阻,FRD0805J471TS,FRD0805J471 TS
components.db,117462,FOJAN(富捷),厚膜电阻,FRC2512J153TS,FRC2512J153 TS
components.db,117478,FOJAN(富捷),厚膜电阻,FRL0805JR100TS,FRL0805JR100 TS
components.db,117494,FOJAN(富捷),厚膜电阻,FRL0402JR500TS,FRL0402JR500 TS
components.db,117542,FOJAN(富捷),厚膜电阻,FRC1210J121TS,FRC1210J121 TS
components.db,117552,FOJAN(富捷),厚膜电阻,FRC1210J101TS,FRC1210J101 TS
components.db,117566,FOJAN(富捷),厚膜电阻,FRC1206J682TS,FRC1206J682 TS
components.db,117591,FOJAN(富捷),厚膜电阻,FRC1206J620TS,FRC1206J620 TS
components.db,117616,FOJAN(富捷),厚膜电阻,FRC0805J124TS,FRC0805J124 TS
components.db,117623,FOJAN(富捷),厚膜电阻,FRC0603J366TS,FRC0603J366 TS
components.db,117661,FOJAN(富捷),厚膜电阻,FRC0402J914TS,FRC0402J914 TS
components.db,117671,FOJAN(富捷),厚膜电阻,FRL1812JR250TS,FRL1812JR250 TS
components.db,117714,FOJAN(富捷),厚膜电阻,FRC0603J221TS,FRC0603J221 TS
components.db,117719,FOJAN(富捷),厚膜电阻,FRC0402J225TS,FRC0402J225 TS
components.db,117855,FOJAN(富捷),厚膜电阻,FRC0805J623TS,FRC0805J623 TS
components.db,117857,FOJAN(富捷),厚膜电阻,FRC0805J203TS,FRC0805J203 TS
components.db,117859,FOJAN(富捷),厚膜电阻,FRC0805J162TS,FRC0805J162 TS
components.db,117866,FOJAN(富捷),厚膜电阻,FRD0805J302TS,FRD0805J302 TS
components.db,117867,FOJAN(富捷),厚膜电阻,FRC1812J2R0TS,FRC1812J2R0 TS
components.db,117901,FOJAN(富捷),厚膜电阻,FRC1206J6R8TS,FRC1206J6R8 TS
components.db,117902,FOJAN(富捷),厚膜电阻,FRC2512J334TS,FRC2512J334 TS
components.db,117923,FOJAN(富捷),厚膜电阻,FRP2512J331TS,FRP2512J331 TS
components.db,117983,FOJAN(富捷),厚膜电阻,FRC0805J752TS,FRC0805J752 TS
components.db,118026,FOJAN(富捷),厚膜电阻,FRC0603J512TS,FRC0603J512 TS
components.db,118084,FOJAN(富捷),厚膜电阻,FRC2512J202TS,FRC2512J202 TS
components.db,118131,FOJAN(富捷),厚膜电阻,FRC2512J180TS,FRC2512J180 TS
