group,component_type,target_brand,brand_rows,type_rows,type_brand_count,status
passive,MLCC,Murata,56635,116827,21,covered
passive,MLCC,TDK,8860,116827,21,covered
passive,MLCC,Samsung,7048,116827,21,covered
passive,MLCC,Taiyo Yuden,13950,116827,21,covered
passive,MLCC,Yageo,9038,116827,21,covered
passive,MLCC,Walsin,13434,116827,21,covered
passive,MLCC,PDC,962,116827,21,covered
passive,MLCC,Kyocera AVX,1229,116827,21,covered
passive,MLCC,KEMET,1,116827,21,covered
passive,MLCC,Vishay,1,116827,21,covered
passive,MLCC,Fenghua,29,116827,21,covered
passive,MLCC,FH,1,116827,21,covered
passive,贴片电阻,Yageo,1,1050,55,covered
passive,贴片电阻,Walsin,1,1050,55,covered
passive,贴片电阻,PDC,27,1050,55,covered
passive,贴片电阻,UNI-ROYAL,92,1050,55,covered
passive,贴片电阻,FOJAN,9,1050,55,covered
passive,贴片电阻,Vishay,34,1050,55,covered
passive,贴片电阻,KOA,1,1050,55,covered
passive,贴片电阻,Panasonic,1,1050,55,covered
passive,贴片电阻,ROHM,20,1050,55,covered
passive,贴片电阻,Samsung,1,1050,55,covered
passive,贴片电阻,RALEC,1,1050,55,covered
passive,贴片电阻,Ever Ohms,41,1050,55,covered
passive,厚膜电阻,Yageo,52788,440794,50,covered
passive,厚膜电阻,Walsin,5649,440794,50,covered
passive,厚膜电阻,PDC,50,440794,50,covered
passive,厚膜电阻,UNI-ROYAL,23090,440794,50,covered
passive,厚膜电阻,FOJAN,5442,440794,50,covered
passive,厚膜电阻,Vishay,56523,440794,50,covered
passive,厚膜电阻,KOA,100855,440794,50,covered
passive,厚膜电阻,Panasonic,55892,440794,50,covered
passive,厚膜电阻,ROHM,10201,440794,50,covered
passive,厚膜电阻,Samsung,8065,440794,50,covered
passive,厚膜电阻,RALEC,6109,440794,50,covered
passive,厚膜电阻,Ever Ohms,4765,440794,50,covered
passive,薄膜电阻,Yageo,112171,746015,52,covered
passive,薄膜电阻,Vishay,350549,746015,52,covered
passive,薄膜电阻,KOA,156154,746015,52,covered
passive,薄膜电阻,Panasonic,12795,746015,52,covered
passive,薄膜电阻,Susumu,23330,746015,52,covered
passive,薄膜电阻,Samsung,1,746015,52,covered
passive,薄膜电阻,UniOhm,1,746015,52,covered
passive,薄膜电阻,Ever Ohms,352,746015,52,covered
passive,合金电阻,Yageo,63,887,28,covered
passive,合金电阻,Walsin,1,887,28,covered
passive,合金电阻,PDC,48,887,28,covered
passive,合金电阻,UNI-ROYAL,92,887,28,covered
passive,合金电阻,FOJAN,40,887,28,covered
passive,合金电阻,Vishay,4,887,28,covered
passive,合金电阻,Isabellenhuette,1,887,28,covered
passive,合金电阻,Bourns,1,887,28,covered
passive,合金电阻,Rohm,1,887,28,covered
passive,热敏电阻,Murata,383,2586,59,covered
passive,热敏电阻,TDK,258,2586,59,covered
passive,热敏电阻,Vishay,889,2586,59,covered
passive,热敏电阻,Panasonic,2,2586,59,covered
passive,热敏电阻,Semitec,2,2586,59,covered
passive,热敏电阻,Mitsubishi,1,2586,59,covered
passive,热敏电阻,Sunlord,65,2586,59,covered
passive,贴片压敏电阻,TDK,1091,12818,60,covered
passive,贴片压敏电阻,Murata,1,12818,60,covered
passive,贴片压敏电阻,Bourns,791,12818,60,covered
passive,贴片压敏电阻,Littelfuse,5219,12818,60,covered
passive,贴片压敏电阻,Panasonic,1062,12818,60,covered
passive,贴片压敏电阻,Vishay,495,12818,60,covered
passive,贴片压敏电阻,Sunlord,72,12818,60,covered
passive,贴片压敏电阻,Yageo,14,12818,60,covered
passive,引线型压敏电阻,TDK,1,18,9,covered
passive,引线型压敏电阻,Bourns,1,18,9,covered
passive,引线型压敏电阻,Littelfuse,1,18,9,covered
passive,引线型压敏电阻,Panasonic,1,18,9,covered
passive,引线型压敏电阻,Vishay,1,18,9,covered
passive,引线型压敏电阻,Epcos,1,18,9,covered
passive,引线型压敏电阻,Joyin,1,18,9,covered
passive,功率电感,Murata,1869,15836,21,covered
passive,功率电感,TDK,4,15836,21,covered
passive,功率电感,Taiyo Yuden,6793,15836,21,covered
passive,功率电感,Sunlord,31,15836,21,covered
passive,功率电感,Wurth,641,15836,21,covered
passive,功率电感,Bourns,448,15836,21,covered
passive,功率电感,Coilcraft,238,15836,21,covered
passive,功率电感,Sumida,4891,15836,21,covered
passive,功率电感,Panasonic,149,15836,21,covered
passive,功率电感,Vishay,141,15836,21,covered
passive,功率电感,Samsung,93,15836,21,covered
passive,功率电感,Chilisin,21,15836,21,covered
passive,射频电感,Murata,4977,6527,12,covered
passive,射频电感,TDK,157,6527,12,covered
passive,射频电感,Taiyo Yuden,1199,6527,12,covered
passive,射频电感,Sunlord,1,6527,12,covered
passive,射频电感,Coilcraft,1,6527,12,covered
passive,射频电感,Wurth,1,6527,12,covered
passive,射频电感,Vishay,1,6527,12,covered
passive,射频电感,Chilisin,1,6527,12,covered
passive,磁珠,Murata,1055,1134,11,covered
passive,磁珠,TDK,1,1134,11,covered
passive,磁珠,Taiyo Yuden,1,1134,11,covered
passive,磁珠,Sunlord,1,1134,11,covered
passive,磁珠,Wurth,2,1134,11,covered
passive,磁珠,Laird,1,1134,11,covered
passive,磁珠,Samsung,1,1134,11,covered
passive,磁珠,Chilisin,31,1134,11,covered
passive,共模电感,Murata,185,472,13,covered
passive,共模电感,TDK,1,472,13,covered
passive,共模电感,Bourns,60,472,13,covered
passive,共模电感,Wurth,13,472,13,covered
passive,共模电感,Laird,1,472,13,covered
passive,共模电感,Sunlord,1,472,13,covered
passive,共模电感,Chilisin,114,472,13,covered
passive,共模电感,Coilcraft,1,472,13,covered
passive,铝电解电容,Nichicon,3821,15416,10,covered
passive,铝电解电容,Rubycon,1055,15416,10,covered
passive,铝电解电容,Panasonic,331,15416,10,covered
passive,铝电解电容,Nippon Chemi-Con,5543,15416,10,covered
passive,铝电解电容,Jianghai,4661,15416,10,covered
passive,铝电解电容,Lelon,1,15416,10,covered
passive,铝电解电容,Samwha,1,15416,10,covered
passive,铝电解电容,Aishi,1,15416,10,covered
passive,铝电解电容,CapXon,1,15416,10,covered
passive,薄膜电容,KEMET,1,8,8,covered
passive,薄膜电容,WIMA,1,8,8,covered
passive,薄膜电容,Panasonic,1,8,8,covered
passive,薄膜电容,TDK,1,8,8,covered
